#                p[0],                 p[1],                 p[2],               energy,             variance,                error,             gradE[0],          gradVarE[0],             gradE[1],          gradVarE[1],             gradE[2],          gradVarE[2],         elapsed time,        accept. ratio,             MC steps
  2.0149510998779e+00,  1.1315189407601e+00,  1.1304243718199e+00, -1.7576235986305e-01,  3.3881326715288e-01,  8.2318074218592e-04,  5.0698333938983e-04, -3.3397750359706e-01, -2.6744675109796e-02, -2.2181656392049e+00, -1.1561506836853e-01, -2.7667569941482e+00,  1.3984983100000e+00,  9.0598600000000e-01,               500000
  2.0161345307797e+00,  1.1314443357588e+00,  1.1305012198090e+00, -1.7809771368072e-01,  3.6044633336821e-01,  8.4905398340530e-04,  5.8925855120939e-03, -3.3103316738297e-01,  5.6647042406338e-03, -2.0849829316476e+00, -1.3443237330150e-01, -3.3444525320532e+00,  1.5302611670000e+00,  9.0791200000000e-01,               500000
  2.0163502552768e+00,  1.1313332141923e+00,  1.1316808999154e+00, -1.6912478489730e-01,  3.7749005474879e-01,  8.6889591407578e-04, -1.3101258650640e-02, -4.7364052753227e-01, -6.9601130372507e-02, -3.0147667675856e+00, -7.8143715073705e-02, -3.6096015144255e+00,  1.4730398720000e+00,  9.0413000000000e-01,               500000
  2.0185281718385e+00,  1.1319088088060e+00,  1.1333978683713e+00, -1.6826898402486e-01,  3.7124344783961e-01,  8.6167679304901e-04,  7.2828521202643e-03, -3.6955860285658e-01, -2.7791674608038e-02, -3.3332221603144e+00,  5.9366449488851e-02, -2.9986487537524e+00,  1.4400115140000e+00,  9.0637400000000e-01,               500000
  2.0194340655637e+00,  1.1327082734532e+00,  1.1344721381594e+00, -1.7122747270316e-01,  3.6999643338143e-01,  8.6022838058440e-04, -1.5652913329794e-03, -5.2772215750193e-01, -7.4743920469840e-03, -3.0887961241533e+00,  1.4251461975149e-01, -4.1776703565849e+00,  1.5146384610000e+00,  9.0557800000000e-01,               500000
  2.0205238223066e+00,  1.1335151598956e+00,  1.1342889744476e+00, -1.7137228301977e-01,  3.5011857344168e-01,  8.3680173690269e-04, -4.6631879022358e-03, -3.7565058746505e-01,  1.1813993058307e-02, -2.5775676247967e+00,  1.5296144091913e-01, -2.9828903391311e+00,  1.4808460090000e+00,  9.0565000000000e-01,               500000
  2.0222313858486e+00,  1.1341421222784e+00,  1.1328801729123e+00, -1.7815055997459e-01,  3.5054761814289e-01,  8.3731429958277e-04,  1.6994920021903e-02, -3.5932709418628e-01,  1.8463674279203e-01, -2.1977638781932e+00,  1.2356017935501e-01, -3.7217362738300e+00,  1.5151135330000e+00,  9.0706000000000e-01,               500000
  2.0212547294560e+00,  1.1329512959467e+00,  1.1306094441314e+00, -1.7532077347411e-01,  3.9709694111247e-01,  8.9117556195452e-04, -3.8372108698579e-03, -4.8454114927669e-01,  5.3342818153755e-02, -3.3760254824341e+00, -1.1394809143739e-01, -3.8623339698128e+00,  1.4910261740000e+00,  8.9896400000000e-01,               500000
  2.0209850442065e+00,  1.1313826675309e+00,  1.1295170338545e+00, -1.7299331222676e-01,  4.0144708095864e-01,  8.9604361607975e-04,  2.0490456913433e-04, -4.3681928348534e-01, -4.4983528899534e-02, -3.1926356193961e+00, -1.6395220708708e-01, -3.5320625885585e+00,  1.3948849450000e+00,  9.0606800000000e-01,               500000
  2.0207439056130e+00,  1.1304155272243e+00,  1.1298993480472e+00, -1.7550032407304e-01,  3.3360455656489e-01,  8.1682869264600e-04,  5.0346635009135e-03, -3.7679900009767e-01, -8.0639068959085e-02, -2.2392045249662e+00, -1.0194363894615e-01, -2.5639451915734e+00,  1.4304554960000e+00,  8.9904400000000e-01,               500000
  2.0197983052641e+00,  1.1303298070168e+00,  1.1310967241995e+00, -1.7572153537801e-01,  3.4162935442267e-01,  8.2659464602993e-04, -1.2350640799341e-03, -4.0361191144999e-01, -8.5946078567843e-02, -2.2829922440960e+00, -6.2150435386388e-02, -2.7442565019228e+00,  1.4515281000000e+00,  9.0205600000000e-01,               500000
  2.0191620154614e+00,  1.1310912862021e+00,  1.1327019251066e+00, -1.7184991868063e-01,  3.5014097728867e-01,  8.3682850965855e-04,  3.3715509185479e-03, -4.2391299051235e-01, -9.7155502367646e-02, -2.6892202322824e+00,  2.6070195470207e-02, -2.7785334910661e+00,  1.5186745890000e+00,  9.0575600000000e-01,               500000
  2.0181118736563e+00,  1.1327278449765e+00,  1.1339446171219e+00, -1.7638896444683e-01,  3.3801192253336e-01,  8.2220669242395e-04, -1.1305193813380e-02, -4.3906457925745e-01,  4.2219176898585e-02, -2.2152331567522e+00,  1.4809923303249e-01, -2.9230426558867e+00,  1.4502562120000e+00,  9.0527400000000e-01,               500000
  2.0189054367211e+00,  1.1338060914253e+00,  1.1338472181853e+00, -1.7340234957758e-01,  3.6149118999827e-01,  8.5028370559275e-04,  2.0705410991531e-04, -3.2357486654846e-01,  7.4176476845356e-02, -2.4254584692182e+00,  1.1564478612729e-01, -3.3168772750000e+00,  1.5344698190000e+00,  9.0587800000000e-01,               500000
  2.0196140984524e+00,  1.1340718807361e+00,  1.1328116379521e+00, -1.7540933267057e-01,  3.2598493494453e-01,  8.0744651209170e-04, -5.4561866478807e-03, -3.9369891777487e-01,  1.4318137787020e-01, -2.2755201920281e+00,  7.6442584772540e-02, -2.8764294463873e+00,  1.4690840730000e+00,  9.0453800000000e-01,               500000
  2.0211091279655e+00,  1.1329347319617e+00,  1.1312533140176e+00, -1.7223129185380e-01,  3.4373073924361e-01,  8.2913296791722e-04,  4.0439566568179e-03, -3.5090264480754e-01,  6.0836110238961e-02, -2.5027623386095e+00, -1.3505382527822e-02, -2.9233396071212e+00,  1.4069085920000e+00,  9.0353800000000e-01,               500000
  2.0218700285148e+00,  1.1313310694077e+00,  1.1299731756387e+00, -1.7151341224882e-01,  3.5858064886636e-01,  8.4685376407779e-04, -2.6667913330152e-03, -3.9794969007932e-01, -4.7407374783783e-02, -2.5685351644717e+00, -9.6445073019341e-02, -3.1496115455704e+00,  1.5000768240000e+00,  9.0560200000000e-01,               500000
  2.0229915928930e+00,  1.1303588026912e+00,  1.1296383993442e+00, -1.7557308144087e-01,  3.5719825591679e-01,  8.4521980090009e-04,  2.0727464185143e-03, -3.7900641002667e-01, -9.1136299774758e-02, -2.5375145675872e+00, -1.2854417250263e-01, -2.8653389410089e+00,  1.4751242870000e+00,  9.0391800000000e-01,               500000
  2.0237160610162e+00,  1.1303824704772e+00,  1.1304245348862e+00, -1.7454992417140e-01,  3.7425901652619e-01,  8.6516936668631e-04, -2.4645833841768e-03, -3.4841122045712e-01, -1.3403567007249e-01, -2.8165855868222e+00, -8.5249603723952e-02, -3.2225927958392e+00,  1.4778810160000e+00,  9.0612400000000e-01,               500000
