#              p[0],               p[1],               p[2],             energy,           variance,              error,       elapsed time,      accept. ratio,  Monte Carlo steps 
 5.000000000000e+01, 1.114478897178e+00, 1.067824812686e+00, 1.681711808203e-02, 4.282142047878e-03, 1.574195497037e-05, 2.176678217400e+01, 9.044595486111e-01,           17280000
 5.000000000000e+01, 1.114912318499e+00, 1.063809707898e+00, 1.699962024539e-02, 2.153356791475e-03, 1.116313374739e-05, 2.098888588400e+01, 9.046357638889e-01,           17280000
 5.000000000000e+01, 1.111787743665e+00, 1.069349736496e+00, 1.692821801015e-02, 3.384044816302e-03, 1.399413901851e-05, 2.064092534900e+01, 9.036109375000e-01,           17280000
 5.000000000000e+01, 1.112004454325e+00, 1.067342184103e+00, 1.688689553891e-02, 2.936171531263e-03, 1.303523432797e-05, 2.083588931800e+01, 9.056796296296e-01,           17280000
 5.000000000000e+01, 1.113835452161e+00, 1.067106932630e+00, 1.690406311201e-02, 2.895621871180e-03, 1.294491058825e-05, 2.099482573900e+01, 9.030422453704e-01,           17280000
 5.000000000000e+01, 1.111969112932e+00, 1.068792732635e+00, 1.686798159906e-02, 3.444480586815e-03, 1.411854692568e-05, 2.089603739100e+01, 9.033140625000e-01,           17280000
 5.000000000000e+01, 1.110941597439e+00, 1.067909046912e+00, 1.692206535369e-02, 2.924144817059e-03, 1.300851042894e-05, 2.097691089600e+01, 9.048350115741e-01,           17280000
 5.000000000000e+01, 1.113111988480e+00, 1.067307461201e+00, 1.687172096757e-02, 3.161686700259e-03, 1.352656572597e-05, 2.305383587600e+01, 9.059207754630e-01,           17280000
 5.000000000000e+01, 1.113569853701e+00, 1.065233065950e+00, 1.686663664190e-02, 2.809836681517e-03, 1.275171711730e-05, 2.229332850900e+01, 9.059879629630e-01,           17280000
 5.000000000000e+01, 1.114370224085e+00, 1.063453232608e+00, 1.691729765651e-02, 3.321132405152e-03, 1.386344698606e-05, 2.191708283400e+01, 9.013910879630e-01,           17280000
 5.000000000000e+01, 1.114578111891e+00, 1.065277535715e+00, 1.692094685115e-02, 2.677418662242e-03, 1.244761863251e-05, 2.173031562500e+01, 9.063482060185e-01,           17280000
 5.000000000000e+01, 1.112647868716e+00, 1.066826022006e+00, 1.692951441069e-02, 2.786267657408e-03, 1.269812353402e-05, 2.109300474400e+01, 9.030504629630e-01,           17280000
 5.000000000000e+01, 1.112647868716e+00, 1.066826022006e+00, 1.688166106294e-02, 3.183321642249e-03, 1.239018436925e-05, 2.543043937200e+01, 9.086216242284e-01,           20736000
 5.000000000000e+01, 1.112647868716e+00, 1.066826022006e+00, 1.689819943165e-02, 3.021857551666e-03, 1.102005796647e-05, 3.028278174400e+01, 9.034213847094e-01,           24883200
 5.000000000000e+01, 1.112647868716e+00, 1.066826022006e+00, 1.690844776082e-02, 3.381572609671e-03, 1.064181293284e-05, 3.753867984400e+01, 9.039362903485e-01,           29859840
 5.000000000000e+01, 1.112647868716e+00, 1.066826022006e+00, 1.684215084151e-02, 6.905124175108e-03, 1.388197907051e-05, 4.419419003500e+01, 9.022958595893e-01,           35831808
 5.000000000000e+01, 1.112787154013e+00, 1.066287625026e+00, 1.688752284118e-02, 2.860745830021e-03, 8.935220526429e-06, 4.310000898000e+01, 9.031751342271e-01,           35831808
 5.000000000000e+01, 1.113340921090e+00, 1.066270263576e+00, 1.684991093039e-02, 3.152225948239e-03, 9.379383828841e-06, 4.335036315200e+01, 9.040436921296e-01,           35831808
 5.000000000000e+01, 1.113380930422e+00, 1.065811059263e+00, 1.688012167338e-02, 4.840389128915e-03, 1.162266652429e-05, 4.440192629100e+01, 9.055135035330e-01,           35831808
 5.000000000000e+01, 1.113084355447e+00, 1.066049577106e+00, 1.687272689062e-02, 2.570065047083e-03, 8.469108494036e-06, 4.375658479300e+01, 9.051408458094e-01,           35831808
 5.000000000000e+01, 1.112936067960e+00, 1.066168836027e+00, 1.688651643537e-02, 2.861735294134e-03, 8.936765633235e-06, 4.374316981100e+01, 9.016562881784e-01,           35831808
 5.000000000000e+01, 1.113876266146e+00, 1.065414312728e+00, 1.693648210593e-02, 3.400693273246e-03, 9.742027922532e-06, 4.303306994300e+01, 9.070597833076e-01,           35831808
 5.000000000000e+01, 1.113059432046e+00, 1.066069296952e+00, 1.692810368870e-02, 2.845911128213e-03, 8.912023145966e-06, 4.397364207800e+01, 9.054360304677e-01,           35831808
 5.000000000000e+01, 1.112935754730e+00, 1.066168601066e+00, 1.691786706208e-02, 3.388028972918e-03, 9.723871176837e-06, 4.471465937400e+01, 9.028286264539e-01,           35831808
 5.000000000000e+01, 1.113212638269e+00, 1.066159920341e+00, 1.689536519932e-02, 3.541622130894e-03, 9.941839559000e-06, 4.350574885200e+01, 9.062978625025e-01,           35831808
 5.000000000000e+01, 1.113327104574e+00, 1.065641321528e+00, 1.691133432787e-02, 3.137092980677e-03, 9.356842825294e-06, 4.356152047700e+01, 9.035794119013e-01,           35831808
 5.000000000000e+01, 1.113327104574e+00, 1.065641321528e+00, 1.689222401339e-02, 3.434686704204e-03, 8.937552970256e-06, 5.269699213400e+01, 9.000068142451e-01,           42998160
