#                p[0],                 p[1],                 p[2],               energy,             variance,                error,         elapsed time,        accept. ratio,             MC steps
  3.7127763374486e+00,  1.1249359053498e+00,  1.1301688271605e+00, -2.7071709110017e-03,  2.6665227795579e-02,  5.7733469274307e-05,  1.1261630840000e+01,  9.0044875000000e-01,              8000000
  3.6462039780521e+00,  1.1453362825789e+00,  1.1230829218107e+00, -1.5260338473595e-03,  4.4681423130704e-02,  7.4734047738216e-05,  1.1843544401000e+01,  8.9932300000000e-01,              8000000
  3.7870861796982e+00,  1.1138998113855e+00,  1.1263429526749e+00, -3.3327805905051e-03,  4.2148153721142e-02,  7.2584565956839e-05,  1.2994764288000e+01,  9.0367462500000e-01,              8000000
  3.3319750114312e+00,  1.1178571444902e+00,  1.1300745198903e+00, -3.1025684621641e-03,  3.9127273858258e-02,  6.9935035799535e-05,  1.1085508161000e+01,  9.0508362500000e-01,              8000000
  3.8358437528578e+00,  1.1225392861225e+00,  1.1246186299726e+00, -3.2037509620297e-03,  2.8733251216987e-02,  5.9930429684121e-05,  1.2094447283000e+01,  9.0444787500000e-01,              8000000
  3.5811938805060e+00,  1.1338169829294e+00,  1.1253820187471e+00, -2.5827666018872e-03,  2.7548300943620e-02,  5.8681663387744e-05,  1.0831427364000e+01,  9.1420937500000e-01,              8000000
  3.7356131049002e+00,  1.1188791042715e+00,  1.1261027191930e+00, -3.3167155858620e-03,  3.3488423475364e-02,  6.4699713557484e-05,  1.0947998683000e+01,  8.9950912500000e-01,              8000000
  3.6707282343901e+00,  1.1187430215795e+00,  1.1188454056165e+00, -4.0707981688790e-03,  4.5343840637132e-02,  7.5285988601077e-05,  1.1463427851000e+01,  9.0694725000000e-01,              8000000
  3.6046348865984e+00,  1.1247091008633e+00,  1.1180733045331e+00, -4.1091501074159e-03,  4.1979633130315e-02,  7.2439313506475e-05,  1.0784491310000e+01,  9.1214787500000e-01,              8000000
  3.3502649944679e+00,  1.1224954621727e+00,  1.1151938434605e+00, -4.5626373692573e-03,  5.6140264606454e-02,  8.3770717293137e-05,  1.1089985168000e+01,  9.0112150000000e-01,              8000000
  3.3502649944679e+00,  1.1224954621727e+00,  1.1151938434605e+00, -4.1379577508690e-03,  5.7400832504671e-02,  7.7325632140340e-05,  1.3656659130000e+01,  9.0089697916667e-01,              9600000
  3.7144490632603e+00,  1.1225283301351e+00,  1.1222624333446e+00, -4.3584318820578e-03,  3.1660952367428e-02,  5.7428354247768e-05,  1.3140762170000e+01,  9.0964625000000e-01,              9600000
  3.5445277321824e+00,  1.1288152657527e+00,  1.1232450863019e+00, -3.5573412803907e-03,  2.9224093405874e-02,  5.5174055464912e-05,  1.3546172743000e+01,  8.9781614583333e-01,              9600000
  3.5705496436967e+00,  1.1255866297286e+00,  1.1274650418979e+00, -3.4231442901642e-03,  2.7367230150098e-02,  5.3392444602539e-05,  1.3032053984000e+01,  9.0074645833333e-01,              9600000
  3.5790709544222e+00,  1.1253672475122e+00,  1.1251171075567e+00, -3.4903786414865e-03,  2.8581774454391e-02,  5.4564348913300e-05,  1.4410201993000e+01,  8.9725052083333e-01,              9600000
  3.5961135758730e+00,  1.1249284830796e+00,  1.1204212388743e+00, -3.6206030243134e-03,  3.6144746151159e-02,  6.1360229172316e-05,  1.3876618936000e+01,  9.0644260416667e-01,              9600000
  3.5833316097849e+00,  1.1252575564041e+00,  1.1239431403861e+00, -3.9996495906221e-03,  2.9484527798536e-02,  5.5419355635140e-05,  1.4052274858000e+01,  8.9991572916667e-01,              9600000
  3.6565260498477e+00,  1.1191086586067e+00,  1.1227586295185e+00, -4.1830190539622e-03,  3.6608415058904e-02,  6.1752543013513e-05,  1.3772336142000e+01,  9.1226635416667e-01,              9600000
  3.7990711485953e+00,  1.1204963634306e+00,  1.1231761354994e+00, -3.4037219097119e-03,  3.3092847745292e-02,  5.8712619087676e-05,  1.3224227789000e+01,  8.9900333333333e-01,              9600000
  3.5776177871488e+00,  1.1231990908577e+00,  1.1228940338749e+00, -3.9901059806608e-03,  3.2626861787316e-02,  5.8297782429341e-05,  1.3593188208000e+01,  9.0112166666667e-01,              9600000
  3.5937395902816e+00,  1.1282146596578e+00,  1.1233077755518e+00, -3.6192149190958e-03,  2.9900257319838e-02,  5.5808692311173e-05,  1.5867377746000e+01,  9.0555062500000e-01,              9600000
  3.6408294349562e+00,  1.1213851588695e+00,  1.1228959160268e+00, -4.0549450105051e-03,  3.3777271353330e-02,  5.9316656732927e-05,  1.4159057014000e+01,  9.0444229166667e-01,              9600000
  3.7147889515188e+00,  1.1229149394148e+00,  1.1231736259635e+00, -3.4844055910561e-03,  3.1458245147782e-02,  5.7244218365066e-05,  1.4516903182000e+01,  9.0390427083333e-01,              9600000
  3.6119105782413e+00,  1.1231280529969e+00,  1.1229639318970e+00, -4.0218547298849e-03,  3.2014940137859e-02,  5.7748502990932e-05,  1.4643643427000e+01,  9.0660604166667e-01,              9600000
  3.6322980659015e+00,  1.1258908008212e+00,  1.1232170877249e+00, -3.8232055537881e-03,  3.0463182916294e-02,  5.6331591673299e-05,  1.2817210374000e+01,  9.0423645833333e-01,              9600000
