#                p[0],                 p[1],                 p[2],               energy,             variance,                error,      -(ℏ/4)⟨∇ᵢ²ln(ψ)⟩,  Var -(ℏ/4)⟨∇ᵢ²ln(ψ)⟩,    (ℏ/2)⟨|∇ᵢln(ψ)|²⟩, Var (ℏ/2)⟨|∇ᵢln(ψ)|²⟩,             gradE[0],          gradVarE[0],             gradE[1],          gradVarE[1],             gradE[2],          gradVarE[2],         elapsed time,        accept. ratio,             MC steps
  2.5092898139376e+00,  1.1905127049048e+00,  1.1958628925761e+00,  2.1311410208495e-01,  2.2808393054490e-01,  1.5102447832881e-04,  4.6668737003299e-01,  1.8193828652852e-01,  4.6702251510185e-01,  2.0420809814936e+00, -1.1735198097108e-02, -1.3329597995206e-01,  1.7725002546199e-01, -1.3143427161178e+00,  3.6653512436610e-01, -3.3425693928656e+00,  6.7764102240000e+00,  9.0931030000000e-01,             10000000
  2.5185330027416e+00,  1.1961391629001e+00,  1.2016009272555e+00,  2.1619207624237e-01,  2.4287205955241e-01,  1.5584353036055e-04,  4.6446694674852e-01,  1.7916893199429e-01,  4.6527395136461e-01,  1.9685974978215e+00, -1.2549949485413e-02, -1.3300766606709e-01,  1.8216902186615e-01, -1.4420818547618e+00,  3.7737514101493e-01, -3.2344904873209e+00,  6.8314324100000e+00,  9.0282530000000e-01,             10000000
  2.5273704056229e+00,  1.2009807768203e+00,  1.2065149185884e+00,  2.1832542642978e-01,  2.7447517403362e-01,  1.6567292296378e-04,  4.6393992436284e-01,  1.7923113112625e-01,  4.6544175661375e-01,  2.0275553387005e+00, -1.2656962046306e-02, -1.5974176533439e-01,  1.9512944044809e-01, -1.8995051548465e+00,  3.8885839031925e-01, -3.6229459284572e+00,  7.0393951850000e+00,  9.0689190000000e-01,             10000000
  2.5358940325492e+00,  1.2051415905355e+00,  1.2107008116789e+00,  2.2107679855241e-01,  2.7092906208267e-01,  1.6459922906340e-04,  4.6255229361894e-01,  1.7599616760572e-01,  4.6271749393749e-01,  1.8905306546365e+00, -1.3199536143724e-02, -1.5863729502968e-01,  1.8664379962929e-01, -1.4507805355110e+00,  3.9761135007243e-01, -3.6603501925637e+00,  7.8293505080000e+00,  9.0410990000000e-01,             10000000
  2.5441604390339e+00,  1.2086591552242e+00,  1.2142227357700e+00,  2.2283644841586e-01,  2.9808797337580e-01,  1.7265224394018e-04,  4.6128427233380e-01,  1.7534744603073e-01,  4.6180558865602e-01,  1.9513089217074e+00, -1.2901413162027e-02, -1.7833639746821e-01,  1.9528187358971e-01, -1.8600748560866e+00,  4.0467539458028e-01, -4.0103770048698e+00,  7.4237902200000e+00,  9.0148100000000e-01,             10000000
  2.5522241164960e+00,  1.2116219958201e+00,  1.2171578891744e+00,  2.2455099933476e-01,  3.1898838153080e-01,  1.7860245841835e-04,  4.5928802890268e-01,  1.7403133484558e-01,  4.6011414554477e-01,  1.9819127959140e+00, -1.3239070436900e-02, -1.8229809466150e-01,  1.9659815996949e-01, -1.9467506349348e+00,  4.1356208448782e-01, -4.5102274403278e+00,  6.7345791500000e+00,  9.0240640000000e-01,             10000000
  2.5601293978743e+00,  1.2140888964654e+00,  1.2195816745683e+00,  2.2635353698977e-01,  3.1582539223232e-01,  1.7771476928841e-04,  4.5828603548222e-01,  1.7204089481694e-01,  4.5791378924805e-01,  1.9141540113200e+00, -1.3812893023710e-02, -1.7009938686121e-01,  1.9855357538089e-01, -1.9324910419554e+00,  4.0776436845590e-01, -4.2425580417923e+00,  6.7899034060000e+00,  9.1200420000000e-01,             10000000
  2.5679008205965e+00,  1.2160989273189e+00,  1.2215306147198e+00,  2.2751527918332e-01,  3.2473964434694e-01,  1.8020533963980e-04,  4.5658036179316e-01,  1.7045323107036e-01,  4.5618581231243e-01,  1.9095617420723e+00, -1.4042217141301e-02, -1.8720348675199e-01,  2.0046844232800e-01, -2.2114898004437e+00,  4.0623008289613e-01, -4.2690299096819e+00,  7.6892697920000e+00,  9.0299530000000e-01,             10000000
  2.5755892702267e+00,  1.2177202113739e+00,  1.2230502910600e+00,  2.2790385877643e-01,  3.1229611218722e-01,  1.7671901770529e-04,  4.5566164024612e-01,  1.7061795367847e-01,  4.5612699368789e-01,  1.8355233752256e+00, -1.3494583841623e-02, -1.7531926265564e-01,  2.0880372080634e-01, -2.1188343822043e+00,  4.0069982034427e-01, -3.6748108785099e+00,  6.6590430430000e+00,  8.9931550000000e-01,             10000000
  2.5831818738367e+00,  1.2189563458786e+00,  1.2241455550242e+00,  2.2826206935945e-01,  3.3801389863544e-01,  1.8385154300017e-04,  4.5414458056636e-01,  1.7026117496855e-01,  4.5522114902780e-01,  1.9182968682972e+00, -1.3020123756003e-02, -1.8912818357988e-01,  2.0651025434624e-01, -2.2900490637026e+00,  4.1354969668696e-01, -4.4090164717132e+00,  6.7967115130000e+00,  9.1069850000000e-01,             10000000
