#              p[0],               p[1],               p[2],             energy,           variance,              error,           gradE[0],        gradVarE[0],           gradE[1],        gradVarE[1],           gradE[2],        gradVarE[2],       elapsed time,      accept. ratio,           MC steps
 5.620192315314e+00, 1.106498900812e+00, 2.113537540776e+00, 4.097784543220e-01, 8.930974239699e-02, 7.875319323199e-05, 7.554846311372e-03,-2.212794515651e-02, 4.620120347436e-03,-1.345087731936e-01, 5.072268509649e-02,-9.049923943560e-01, 1.121172118000e+01, 9.137070833333e-01,           14400000
 5.619343895557e+00, 1.106503886692e+00, 2.112655202474e+00, 4.097501371796e-01, 9.411680949718e-02, 8.084484862015e-05, 7.561653820599e-03,-2.300249646784e-02, 5.247980380742e-03,-1.225702181383e-01, 5.199142969944e-02,-1.016940627706e+00, 1.096865328600e+01, 9.021413194444e-01,           14400000
 5.569693308575e+00, 1.107309276263e+00, 2.091278137729e+00, 4.081733926465e-01, 9.256781393635e-02, 8.017680719663e-05, 7.148906445756e-03,-2.417679901193e-02, 6.373796637952e-03,-1.068318842555e-01, 5.206182181721e-02,-9.821671143118e-01, 1.175475129900e+01, 8.953480555556e-01,           14400000
 5.564728249877e+00, 1.107389815221e+00, 2.089140431254e+00, 4.083882008988e-01, 9.426593593934e-02, 8.090887189513e-05, 6.968557282406e-03,-2.423082455752e-02, 4.662576010887e-03,-1.492162647856e-01, 5.016530481470e-02,-1.012977118757e+00, 1.091390270700e+01, 8.948972916667e-01,           14400000
 5.547376356195e+00, 1.107671282874e+00, 2.081669571850e+00, 4.078419453981e-01, 9.335413230416e-02, 8.051661849864e-05, 6.626738496664e-03,-2.341425048359e-02, 4.637807145556e-03,-1.357178981503e-01, 4.959467718346e-02,-9.983575058836e-01, 1.237765186100e+01, 9.034459027778e-01,           14400000
 5.259763719210e+00, 1.113303288513e+00, 2.001624350268e+00, 4.019058089683e-01, 1.067534787236e-01, 8.610131254792e-05, 3.393549203213e-03,-2.798628577739e-02, 1.375996885470e-02,-5.962059685728e-02, 5.478067074373e-02,-1.255259904473e+00, 1.005283529500e+01, 9.035444444444e-01,           14400000
 5.238764149693e+00, 1.110591230886e+00, 2.023000690999e+00, 4.030661975066e-01, 1.073808183558e-01, 8.635393027944e-05, 3.229910303942e-03,-3.249597802292e-02, 9.206492298648e-03,-8.693012490625e-02, 5.261053590011e-02,-1.312335954399e+00, 1.113441831400e+01, 9.018375000000e-01,           14400000
 5.259167610480e+00, 1.113226302114e+00, 2.002231154294e+00, 4.019652933829e-01, 1.009229110908e-01, 8.371699643691e-05, 3.514413784293e-03,-2.772865947475e-02, 1.177459292651e-02,-9.920193960221e-02, 5.233602506859e-02,-1.111997148410e+00, 1.093617398700e+01, 9.036309027778e-01,           14400000
 5.063364230915e+00, 1.108727807562e+00, 2.004801363307e+00, 4.018372034240e-01, 1.089139697701e-01, 8.696821329037e-05, 4.675359795557e-04,-3.115118561785e-02, 5.293319589038e-03,-1.247175358731e-01, 5.050369656512e-02,-1.216960957530e+00, 1.158366311900e+01, 9.051894444444e-01,           14400000
 5.225538795758e+00, 1.112453695226e+00, 2.002672582235e+00, 4.018542129557e-01, 1.076312749931e-01, 8.645457822893e-05, 2.758008967590e-03,-2.659573897520e-02, 1.120789629794e-02,-7.394337857589e-02, 5.545422600255e-02,-1.255845993819e+00, 1.179525380900e+01, 9.067023611111e-01,           14400000
 5.225538795758e+00, 1.112453695226e+00, 2.002672582235e+00, 4.018571418278e-01, 1.046785949846e-01, 7.783179980965e-05, 2.868429859425e-03,-2.833647736208e-02, 1.220860672307e-02,-7.507111805121e-02, 5.265208986860e-02,-1.211561818197e+00, 1.226896351200e+01, 9.011791666667e-01,           17280000
 5.225538795758e+00, 1.112453695226e+00, 2.002672582235e+00, 4.021453058183e-01, 1.042212874272e-01, 7.089501924142e-05, 2.928899187010e-03,-2.870836345025e-02, 1.058759799166e-02,-8.088493543204e-02, 5.165759565561e-02,-1.195900994572e+00, 1.831304581100e+01, 8.991373939043e-01,           20736000
 5.225538795758e+00, 1.112453695226e+00, 2.002672582235e+00, 4.017982015802e-01, 1.059617151430e-01, 6.525613902795e-05, 2.876527531837e-03,-2.844610373347e-02, 1.164930254327e-02,-8.078347230188e-02, 5.415078268246e-02,-1.220622198834e+00, 1.924118291000e+01, 9.009803803369e-01,           24883200
 5.225538795758e+00, 1.112453695226e+00, 2.002672582235e+00, 4.021366829808e-01, 1.026137720957e-01, 5.862179172833e-05, 2.839757126537e-03,-2.819288871291e-02, 1.100317055419e-02,-8.289922830034e-02, 4.990589614596e-02,-1.182253406554e+00, 2.395229652300e+01, 8.998181169089e-01,           29859840
 5.225538795758e+00, 1.112453695226e+00, 2.002672582235e+00, 4.021164630103e-01, 1.059504982908e-01, 5.437723750635e-05, 2.832831655688e-03,-2.938162486272e-02, 1.163028704376e-02,-8.513035221286e-02, 5.207887060039e-02,-1.258265896179e+00, 3.044249323900e+01, 9.028572881391e-01,           35831808
 5.258214367468e+00, 1.113204401785e+00, 2.002243667018e+00, 4.020346867843e-01, 1.051308734082e-01, 5.416650009543e-05, 3.343714249630e-03,-2.950436594179e-02, 1.288402959753e-02,-7.333006638880e-02, 5.424532500168e-02,-1.228149880786e+00, 2.953052762000e+01, 9.054923491441e-01,           35831808
 5.259158078050e+00, 1.113226083111e+00, 2.002231279421e+00, 4.022210806829e-01, 1.036073449931e-01, 5.377258456331e-05, 3.312634265433e-03,-2.780267644668e-02, 1.268413860954e-02,-7.167345382116e-02, 5.118772902987e-02,-1.220044066019e+00, 3.176899647300e+01, 9.069547648838e-01,           35831808
 5.259167515156e+00, 1.113226299924e+00, 2.002231155545e+00, 4.019837056310e-01, 1.035988548979e-01, 5.377038132321e-05, 3.393787199011e-03,-2.849297756748e-02, 1.330668589321e-02,-6.520807216740e-02, 5.350436189996e-02,-1.205718693279e+00, 3.041906390600e+01, 8.988041574681e-01,           35831808
 5.259167609527e+00, 1.113226302093e+00, 2.002231154306e+00, 4.019461631388e-01, 1.064188769793e-01, 5.449729854235e-05, 3.396559164146e-03,-3.051655913600e-02, 1.297928356709e-02,-6.581975603402e-02, 5.405316967916e-02,-1.295669844987e+00, 2.688137241700e+01, 8.971595293210e-01,           35831808
 5.259167610470e+00, 1.113226302114e+00, 2.002231154294e+00, 4.023323769474e-01, 9.999652883605e-02, 5.282726188741e-05, 3.302899090690e-03,-2.785445238728e-02, 1.363127175250e-02,-6.505138325573e-02, 5.017653919228e-02,-1.135325333300e+00, 2.970855043600e+01, 9.008107545117e-01,           35831808
 5.259167610480e+00, 1.113226302114e+00, 2.002231154294e+00, 4.021179900242e-01, 1.074480746955e-01, 5.476019145156e-05, 3.375633582198e-03,-2.855467742925e-02, 1.208542057738e-02,-7.724123659278e-02, 5.297426235966e-02,-1.320007611593e+00, 3.266189443100e+01, 9.077198393115e-01,           35831808
 5.257039629669e+00, 1.106411806168e+00, 2.005494986645e+00, 4.023902841861e-01, 1.060665295972e-01, 5.440700487653e-05, 3.281706984440e-03,-2.895466921121e-02, 1.924228545840e-03,-1.662034878540e-01, 5.080565598508e-02,-1.176480879166e+00, 2.669032192200e+01, 8.968976949196e-01,           35831808
