#                 r,             density,       density error,           density A,     density error A,           density B,     density error B,  radial probability,   probability error, radial probability A,probability error A, radial probability B,probability error B
 4.812500000000e+00,  3.409126736088e-04,  1.459359167237e-06,  1.693162337656e-04,  1.028465948037e-06,  1.715964398433e-04,  1.035368037332e-06,  9.922000000000e-02,  4.247352116319e-04,  4.927818181818e-02,  2.993270689645e-04,  4.994181818182e-02,  3.013358687331e-04
 4.867500000000e+00,  3.092891115224e-04,  1.374319688257e-06,  1.545071536444e-04,  9.713589557480e-07,  1.547819578780e-04,  9.722223946292e-07,  9.208545454545e-02,  4.091797883248e-04,  4.600181818182e-02,  2.892052375416e-04,  4.608363636364e-02,  2.894623114536e-04
 4.922500000000e+00,  2.749553984692e-04,  1.281317816281e-06,  1.371612330228e-04,  9.049851016629e-07,  1.377941654463e-04,  9.070707315793e-07,  8.372363636364e-02,  3.901599587201e-04,  4.176545454545e-02,  2.755670337371e-04,  4.195818181818e-02,  2.762021059040e-04
 4.977500000000e+00,  2.510018982338e-04,  1.210706148889e-06,  1.260820125839e-04,  8.580780871084e-07,  1.249198856499e-04,  8.541143807369e-07,  7.814727272727e-02,  3.769429007333e-04,  3.925454545455e-02,  2.671551998866e-04,  3.889272727273e-02,  2.659211341484e-04
 5.032500000000e+00,  2.287325290239e-04,  1.143119792115e-06,  1.150118206281e-04,  8.105858486616e-07,  1.137207083957e-04,  8.060232261384e-07,  7.279636363636e-02,  3.638090499058e-04,  3.660363636364e-02,  2.579768712806e-04,  3.619272727273e-02,  2.565247720546e-04
 5.087500000000e+00,  2.093746862790e-04,  1.081855538942e-06,  1.065292590153e-04,  7.716878087102e-07,  1.028454272637e-04,  7.582277580172e-07,  6.810000000000e-02,  3.518780780586e-04,  3.464909090909e-02,  2.509947152978e-04,  3.345090909091e-02,  2.466167770261e-04
 5.142500000000e+00,  1.881675653247e-04,  1.014634758235e-06,  9.314548889754e-05,  7.138685780061e-07,  9.502207642717e-05,  7.210238178827e-07,  6.253272727273e-02,  3.371881785718e-04,  3.095454545455e-02,  2.372361518309e-04,  3.157818181818e-02,  2.396140146842e-04
 5.197500000000e+00,  1.655676755819e-04,  9.416835301968e-07,  8.347742993624e-05,  6.686544415999e-07,  8.209024564563e-05,  6.630754925140e-07,  5.620545454545e-02,  3.196744211494e-04,  2.833818181818e-02,  2.269889136988e-04,  2.786727272727e-02,  2.250950212578e-04
 5.252500000000e+00,  1.537694758729e-04,  8.980091154404e-07,  7.680345056986e-05,  6.346525715794e-07,  7.696602530306e-05,  6.353239211629e-07,  5.331090909091e-02,  3.113341060980e-04,  2.662727272727e-02,  2.200300505397e-04,  2.668363636364e-02,  2.202628032132e-04
 5.307500000000e+00,  1.418212860008e-04,  8.534783064472e-07,  7.051515411797e-05,  6.018149982975e-07,  7.130613188286e-05,  6.051809046890e-07,  5.020363636364e-02,  3.021247074355e-04,  2.496181818182e-02,  2.130378463253e-04,  2.524181818182e-02,  2.142293511077e-04
 5.362500000000e+00,  1.261271885179e-04,  7.966157195113e-07,  6.420069113962e-05,  5.683480394532e-07,  6.192649737825e-05,  5.581909266749e-07,  4.557818181818e-02,  2.878704942984e-04,  2.320000000000e-02,  2.053821272210e-04,  2.237818181818e-02,  2.017116836125e-04
 5.417500000000e+00,  1.120978383718e-04,  7.433811717707e-07,  5.658872802980e-05,  5.281750769668e-07,  5.550911034198e-05,  5.231124684180e-07,  4.134363636364e-02,  2.741719313385e-04,  2.087090909091e-02,  1.948001730954e-04,  2.047272727273e-02,  1.929329948346e-04
 5.472500000000e+00,  1.013337745694e-04,  6.996860821217e-07,  5.107995225372e-05,  4.967654310892e-07,  5.025382231564e-05,  4.927318946340e-07,  3.813636363636e-02,  2.633226974175e-04,  1.922363636364e-02,  1.869547167517e-04,  1.891272727273e-02,  1.854367192859e-04
