#                 r,            density,      density error,          density A,    density error A,          density B,    density error B, radial probability,  probability error,     radial prob. A,      prob. error A,     radial prob. B,      prob. error B
 3.162500000000e+00, 1.331414147373e-02, 1.387823699867e-05, 6.692701066788e-03, 9.839622336347e-06, 6.621440406938e-03, 9.787098368227e-06, 1.673381818182e+00, 1.744279907783e-03, 8.411690909091e-01, 1.236688460004e-03, 8.322127272727e-01, 1.230087008950e-03
 3.217500000000e+00, 1.240484043396e-02, 1.316695863532e-05, 6.193433713782e-03, 9.303698479054e-06, 6.211406720175e-03, 9.317188112039e-06, 1.613796363636e+00, 1.712943433570e-03, 8.057290909091e-01, 1.210356139106e-03, 8.080672727273e-01, 1.212111060564e-03
 3.272500000000e+00, 1.145196772957e-02, 1.243852875433e-05, 5.709737993861e-03, 8.782881974273e-06, 5.742229735712e-03, 8.807836385762e-06, 1.541201818182e+00, 1.673972856401e-03, 7.684145454545e-01, 1.181997189240e-03, 7.727872727273e-01, 1.185355545225e-03
 3.327500000000e+00, 1.062395932026e-02, 1.178240413438e-05, 5.331116525723e-03, 8.346411696372e-06, 5.292842794532e-03, 8.316396995129e-06, 1.478230909091e+00, 1.639418360878e-03, 7.417781818182e-01, 1.161330100921e-03, 7.364527272727e-01, 1.157153818072e-03
 3.382500000000e+00, 9.767600896215e-03, 1.111386422172e-05, 4.873013681091e-03, 7.850005282828e-06, 4.894587215124e-03, 7.867362645658e-06, 1.404374545455e+00, 1.597938754916e-03, 7.006363636364e-01, 1.128664829575e-03, 7.037381818182e-01, 1.131160451458e-03
 3.437500000000e+00, 8.895924779337e-03, 1.043666960067e-05, 4.434077391637e-03, 7.368312192269e-06, 4.461847387700e-03, 7.391349524331e-06, 1.320978181818e+00, 1.549767244588e-03, 6.584272727273e-01, 1.094139157451e-03, 6.625509090909e-01, 1.097560028668e-03
 3.492500000000e+00, 8.233596591074e-03, 9.882517979632e-06, 4.104100383530e-03, 6.977210218627e-06, 4.129496207543e-03, 6.998764118246e-06, 1.262063636364e+00, 1.514813901780e-03, 6.290854545455e-01, 1.069481994022e-03, 6.329781818182e-01, 1.072785822747e-03
 3.547500000000e+00, 7.538605979011e-03, 9.309631521896e-06, 3.789192314404e-03, 6.600248595926e-06, 3.749413664607e-03, 6.565512740484e-06, 1.192214545455e+00, 1.472298478542e-03, 5.992527272727e-01, 1.043815315668e-03, 5.929618181818e-01, 1.038321913808e-03
 3.602500000000e+00, 6.870355975379e-03, 8.751754688118e-06, 3.451532633599e-03, 6.203138928052e-06, 3.418823341780e-03, 6.173676178768e-06, 1.120483636364e+00, 1.427320207664e-03, 5.629090909091e-01, 1.011667472236e-03, 5.575745454545e-01, 1.006862404118e-03
 3.657500000000e+00, 6.317932390307e-03, 8.266330853436e-06, 3.158739067566e-03, 5.844968465975e-06, 3.159193322741e-03, 5.845388730464e-06, 1.062090909091e+00, 1.389631023029e-03, 5.310072727273e-01, 9.825821943202e-04, 5.310836363636e-01, 9.826528438723e-04
 3.712500000000e+00, 5.760858766820e-03, 7.776548832043e-06, 2.874241097251e-03, 5.492940399331e-06, 2.886617669569e-03, 5.504754082295e-06, 9.977872727273e-01, 1.346907078341e-03, 4.978218181818e-01, 9.513835075890e-04, 4.999654545455e-01, 9.534296508781e-04
 3.767500000000e+00, 5.283483983381e-03, 7.338660610051e-06, 2.619607322010e-03, 5.167431206578e-06, 2.663876661370e-03, 5.210911079149e-06, 9.424200000000e-01, 1.309003784980e-03, 4.672618181818e-01, 9.217195572129e-04, 4.751581818182e-01, 9.294751029168e-04
 3.822500000000e+00, 4.762547744262e-03, 6.867238869513e-06, 2.379283560765e-03, 4.853841436386e-06, 2.383264183497e-03, 4.857900060867e-06, 8.744836363636e-01, 1.260940223775e-03, 4.368763636364e-01, 8.912466892825e-04, 4.376072727273e-01, 8.919919208025e-04
 3.877500000000e+00, 4.312097661833e-03, 6.441730777456e-06, 2.164974288086e-03, 4.564409992394e-06, 2.147123373747e-03, 4.545553523011e-06, 8.147218181818e-01, 1.217091778254e-03, 4.090472727273e-01, 8.623933638715e-04, 4.056745454545e-01, 8.588306484078e-04
 3.932500000000e+00, 3.953208357123e-03, 6.081578329205e-06, 1.979724352054e-03, 4.303718083130e-06, 1.973484005070e-03, 4.296929791746e-06, 7.682527272727e-01, 1.181872726014e-03, 3.847327272727e-01, 8.363695651964e-04, 3.835200000000e-01, 8.350503523196e-04
 3.987500000000e+00, 3.561312059465e-03, 5.692651529570e-06, 1.757283875739e-03, 3.998807947417e-06, 1.804028183725e-03, 4.051643671004e-06, 7.115872727273e-01, 1.137451116014e-03, 3.511236363636e-01, 7.990035116132e-04, 3.604636363636e-01, 8.095606399474e-04
 4.042500000000e+00, 3.238033041645e-03, 5.354278821153e-06, 1.613704351121e-03, 3.779830543259e-06, 1.624328690524e-03, 3.792252992469e-06, 6.649636363636e-01, 1.099556634916e-03, 3.313909090909e-01, 7.762273672191e-04, 3.335727272727e-01, 7.787784458808e-04
 4.097500000000e+00, 2.949066604596e-03, 5.041198418001e-06, 1.472529725662e-03, 3.562242952861e-06, 1.476536878934e-03, 3.567086575125e-06, 6.222127272727e-01, 1.063623931551e-03, 3.106836363636e-01, 7.515845520252e-04, 3.115290909091e-01, 7.526064900900e-04
 4.152500000000e+00, 2.648068267160e-03, 4.713738611202e-06, 1.317543873008e-03, 3.324937227056e-06, 1.330524394152e-03, 3.341275823824e-06, 5.738054545455e-01, 1.021412083651e-03, 2.854963636364e-01, 7.204750498946e-04, 2.883090909091e-01, 7.240154329208e-04
 4.207500000000e+00, 2.360553292832e-03, 4.392314321272e-06, 1.187325721180e-03, 3.115096067665e-06, 1.173227571652e-03, 3.096546719504e-06, 5.251436363636e-01, 9.771420631465e-04, 2.641400000000e-01, 6.930040010379e-04, 2.610036363636e-01, 6.888773955616e-04
 4.262500000000e+00, 2.145716973400e-03, 4.133638912014e-06, 1.069820490829e-03, 2.918782773600e-06, 1.075896482571e-03, 2.927059578392e-06, 4.899109090909e-01, 9.437939962926e-04, 2.442618181818e-01, 6.664175843225e-04, 2.456490909091e-01, 6.683073475160e-04
