#                 r,             density,       density error,           density A,     density error A,           density B,     density error B,  radial probability,   probability error,      radial prob. A,      prob. error A,      radial prob. B,      prob. error B
 3.162500000000e+00,  4.188552873118e-03,  7.784123487742e-06,  2.103491426475e-03,  5.516302694750e-06,  2.085061446643e-03,  5.492083671277e-06,  5.264363636364e-01,  9.783440216986e-04,  2.643763636364e-01,  6.933139963398e-04,  2.620600000000e-01,  6.902700393851e-04
 3.217500000000e+00,  3.927143824499e-03,  7.408465853380e-06,  1.964857694977e-03,  5.240291320162e-06,  1.962286129521e-03,  5.236861004507e-06,  5.108981818182e-01,  9.637975851412e-04,  2.556163636364e-01,  6.817309035047e-04,  2.552818181818e-01,  6.812846397289e-04
 3.272500000000e+00,  3.646910933641e-03,  7.019263325641e-06,  1.819699664644e-03,  4.958254494309e-06,  1.827211268997e-03,  4.968477634483e-06,  4.908000000000e-01,  9.446500073380e-04,  2.448945454545e-01,  6.672801584922e-04,  2.459054545455e-01,  6.686559851271e-04
 3.327500000000e+00,  3.391099625323e-03,  6.656730730287e-06,  1.694759249078e-03,  4.705921969355e-06,  1.696340376245e-03,  4.708116654660e-06,  4.718418181818e-01,  9.262257904399e-04,  2.358109090909e-01,  6.547878339111e-04,  2.360309090909e-01,  6.550932051533e-04
 3.382500000000e+00,  3.179857984221e-03,  6.341251759990e-06,  1.600349034340e-03,  4.498611506405e-06,  1.579508949881e-03,  4.469224585766e-06,  4.571963636364e-01,  9.117379643859e-04,  2.300963636364e-01,  6.468052448716e-04,  2.271000000000e-01,  6.425800268520e-04
 3.437500000000e+00,  2.925008297826e-03,  5.984528440082e-06,  1.463704087015e-03,  4.233436274090e-06,  1.461304210812e-03,  4.229964298120e-06,  4.343418181818e-01,  8.886576375040e-04,  2.173490909091e-01,  6.286335699668e-04,  2.169927272727e-01,  6.281180075471e-04
 3.492500000000e+00,  2.721303103754e-03,  5.681477345266e-06,  1.360971816822e-03,  4.017883931595e-06,  1.360331286931e-03,  4.016938328753e-06,  4.171272727273e-01,  8.708692342370e-04,  2.086127272727e-01,  6.158700088238e-04,  2.085145454545e-01,  6.157250647585e-04
 3.547500000000e+00,  2.522334292137e-03,  5.385032040766e-06,  1.250670641079e-03,  3.791913720728e-06,  1.271663651058e-03,  3.823605682419e-06,  3.989018181818e-01,  8.516313950635e-04,  1.977909090909e-01,  5.996831119106e-04,  2.011109090909e-01,  6.046951284301e-04
 3.602500000000e+00,  2.323898192955e-03,  5.089956433283e-06,  1.158626884834e-03,  3.593993743861e-06,  1.165271308121e-03,  3.604284320334e-06,  3.790036363636e-01,  8.301189798223e-04,  1.889600000000e-01,  5.861430169879e-04,  1.900436363636e-01,  5.878213030314e-04
 3.657500000000e+00,  2.146972190367e-03,  4.818795610614e-06,  1.074756928113e-03,  3.409419362342e-06,  1.072215262254e-03,  3.405385550648e-06,  3.609218181818e-01,  8.100749888765e-04,  1.806745454545e-01,  5.731484742662e-04,  1.802472727273e-01,  5.724703608481e-04
 3.712500000000e+00,  1.983274855631e-03,  4.562834769442e-06,  9.906401637187e-04,  3.224788639585e-06,  9.926346919124e-04,  3.228033358445e-06,  3.435054545455e-01,  7.902881575102e-04,  1.715800000000e-01,  5.585370501262e-04,  1.719254545455e-01,  5.590990391131e-04
 3.767500000000e+00,  1.843736947908e-03,  4.335169527007e-06,  9.219398267918e-04,  3.065546400262e-06,  9.217971211158e-04,  3.065309135427e-06,  3.288690909091e-01,  7.732682598251e-04,  1.644472727273e-01,  5.468043903649e-04,  1.644218181818e-01,  5.467620692135e-04
 3.822500000000e+00,  1.697131570599e-03,  4.099399455499e-06,  8.445752605202e-04,  2.891889276158e-06,  8.525563100786e-04,  2.905521004947e-06,  3.116218181818e-01,  7.527184891890e-04,  1.550781818182e-01,  5.309993696592e-04,  1.565436363636e-01,  5.335023836764e-04
 3.877500000000e+00,  1.560400868481e-03,  3.875041586647e-06,  7.765869472680e-04,  2.733715526217e-06,  7.838139212135e-04,  2.746406146215e-06,  2.948200000000e-01,  7.321450427589e-04,  1.467272727273e-01,  5.165044622306e-04,  1.480927272727e-01,  5.189022105679e-04
 3.932500000000e+00,  1.434138393490e-03,  3.663000547476e-06,  7.173685837065e-04,  2.590673179442e-06,  7.167698097831e-04,  2.589591760901e-06,  2.787054545455e-01,  7.118547535015e-04,  1.394109090909e-01,  5.034623920069e-04,  1.392945454545e-01,  5.032522328985e-04
 3.987500000000e+00,  1.321088596856e-03,  3.467173355091e-06,  6.599619282291e-04,  2.450580796361e-06,  6.611266686266e-04,  2.452742309081e-06,  2.639672727273e-01,  6.927773782881e-04,  1.318672727273e-01,  4.896515880562e-04,  1.321000000000e-01,  4.900834808294e-04
 4.042500000000e+00,  1.218753387419e-03,  3.284870575440e-06,  6.062070991207e-04,  2.316705629724e-06,  6.125462882980e-04,  2.328787178468e-06,  2.502836363636e-01,  6.745822092412e-04,  1.244909090909e-01,  4.757595058830e-04,  1.257927272727e-01,  4.782405771019e-04
 4.097500000000e+00,  1.120779226224e-03,  3.107789084840e-06,  5.627766700069e-04,  2.202214122578e-06,  5.580025562167e-04,  2.192853381822e-06,  2.364690909091e-01,  6.557010001921e-04,  1.187381818182e-01,  4.646370662203e-04,  1.177309090909e-01,  4.626620779220e-04
 4.152500000000e+00,  1.026895992015e-03,  2.935378689738e-06,  5.128606421097e-04,  2.074438640846e-06,  5.140353499055e-04,  2.076813033841e-06,  2.225163636364e-01,  6.360622663007e-04,  1.111309090909e-01,  4.495066165777e-04,  1.113854545455e-01,  4.500211197982e-04
 4.207500000000e+00,  9.398275981839e-04,  2.771472690723e-06,  4.714829844308e-04,  1.962996469405e-06,  4.683446137532e-04,  1.956452334335e-06,  2.090800000000e-01,  6.165593682245e-04,  1.048890909091e-01,  4.367006274515e-04,  1.041909090909e-01,  4.352447777159e-04
 4.262500000000e+00,  8.598762624290e-04,  2.616762446235e-06,  4.269757866172e-04,  1.843944911106e-06,  4.329004758119e-04,  1.856694068724e-06,  1.963272727273e-01,  5.974601892059e-04,  9.748727272727e-02,  4.210101979488e-04,  9.884000000000e-02,  4.239210904273e-04
 4.317500000000e+00,  7.829072066582e-04,  2.465094574701e-06,  3.894898931010e-04,  1.738707537350e-06,  3.934173135572e-04,  1.747451676522e-06,  1.833963636364e-01,  5.774495076492e-04,  9.123818181818e-02,  4.072930189750e-04,  9.215818181818e-02,  4.093413374905e-04
 4.372500000000e+00,  7.196322747390e-04,  2.333653423472e-06,  3.567171772304e-04,  1.643020769272e-06,  3.629150975086e-04,  1.657232950621e-06,  1.728963636364e-01,  5.606755075740e-04,  8.570363636364e-02,  3.947464925600e-04,  8.719272727273e-02,  3.981610621406e-04
