#                 r,           dens_tot,           dens_err,             dens_A,         dens_err_A,             dens_B,         dens_err_B,         dens_alike,     dens_alike_err,        dens_unlike,    dens_unlike_err,           prob_tot,           prob_err,             prob_A,         prob_err_A,             prob_B,         prob_err_B,         prob_alike,     prob_alike_err,        prob_unlike,    prob_unlike_err
 2.062500000000e+00, 4.829268403611e-02, 4.052729056858e-05, 2.413304388867e-02, 2.864922972041e-05, 2.415964014744e-02, 2.866501207495e-05, 2.828876033825e-02, 3.101800463881e-05, 4.248402030677e-02, 3.801191087259e-05, 2.581694545455e+00, 2.166561811406e-03, 1.290136363636e+00, 1.531568633571e-03, 1.291558181818e+00, 1.532412347675e-03, 1.512298181818e+00, 1.658201754266e-03, 2.271167272727e+00, 2.032091297487e-03
 2.117500000000e+00, 4.562654465806e-02, 3.836956597552e-05, 2.281367566431e-02, 2.713162013081e-05, 2.281286899376e-02, 2.713114045203e-05, 2.759006878546e-02, 2.983695422418e-05, 4.138203783011e-02, 3.654130330219e-05, 2.570980000000e+00, 2.162061306002e-03, 1.285512727273e+00, 1.528821725306e-03, 1.285467272727e+00, 1.528794696204e-03, 1.554654545455e+00, 1.681262807564e-03, 2.331809090909e+00, 2.059041741336e-03
 2.172500000000e+00, 4.352625581642e-02, 3.652733567240e-05, 2.174560924693e-02, 2.581832898690e-05, 2.178064656949e-02, 2.583912033426e-05, 2.692917114231e-02, 2.873120452727e-05, 4.030355783188e-02, 3.514908575771e-05, 2.581689090909e+00, 2.166559522674e-03, 1.289805454545e+00, 1.531372203759e-03, 1.291883636364e+00, 1.532605408722e-03, 1.597260000000e+00, 1.704144680157e-03, 2.390540000000e+00, 2.084810869992e-03
 2.227500000000e+00, 4.131965283786e-02, 3.471069508763e-05, 2.076507518268e-02, 2.460660697002e-05, 2.055457765518e-02, 2.448156953484e-05, 2.615012621182e-02, 2.761352647970e-05, 3.930609046610e-02, 3.385438301102e-05, 2.576463636364e+00, 2.164365805229e-03, 1.294794545455e+00, 1.534331092309e-03, 1.281669090909e+00, 1.526534453596e-03, 1.630576363636e+00, 1.721825861555e-03, 2.450909090909e+00, 2.110970948902e-03
 2.282500000000e+00, 3.939486456098e-02, 3.307594310347e-05, 1.969622426051e-02, 2.338750646571e-05, 1.969864030047e-02, 2.338894083751e-05, 2.554148581535e-02, 2.663271914066e-05, 3.827596035303e-02, 3.260284343083e-05, 2.579241818182e+00, 2.165532400707e-03, 1.289541818182e+00, 1.531215689445e-03, 1.289700000000e+00, 1.531309599953e-03, 1.672240000000e+00, 1.743684708781e-03, 2.505985454545e+00, 2.134557844164e-03
 2.337500000000e+00, 3.717573163848e-02, 3.137486370017e-05, 1.859345292158e-02, 2.218871284838e-05, 1.858227871690e-02, 2.218204441292e-05, 2.464155740272e-02, 2.554383863257e-05, 3.706258619630e-02, 3.132708215208e-05, 2.552658181818e+00, 2.154343680617e-03, 1.276712727273e+00, 1.523579951223e-03, 1.275945454545e+00, 1.523122065511e-03, 1.692003636364e+00, 1.753958451028e-03, 2.544889090909e+00, 2.151062777880e-03
 2.392500000000e+00, 3.516284508708e-02, 2.981221315000e-05, 1.761327001618e-02, 2.109950226677e-05, 1.754957507091e-02, 2.106131660167e-05, 2.391631453863e-02, 2.458664905456e-05, 3.584127208151e-02, 3.009843548899e-05, 2.529396363636e+00, 2.144505182866e-03, 1.266989090909e+00, 1.517766954748e-03, 1.262407272727e+00, 1.515020115514e-03, 1.720390909091e+00, 1.768610604705e-03, 2.578198181818e+00, 2.165094237638e-03
 2.447500000000e+00, 3.305755794591e-02, 2.825642856295e-05, 1.658152823689e-02, 2.001216902510e-05, 1.647602970902e-02, 1.994840459895e-05, 2.336587095377e-02, 2.375597567068e-05, 3.492218645987e-02, 2.904240639877e-05, 2.488538181818e+00, 2.127114213208e-03, 1.248240000000e+00, 1.506495029108e-03, 1.240298181818e+00, 1.501694910195e-03, 1.758958181818e+00, 1.788324854472e-03, 2.628905454545e+00, 2.186281797750e-03
 2.502500000000e+00, 3.107347968796e-02, 2.679327744131e-05, 1.551264378035e-02, 1.893101093725e-05, 1.556083590761e-02, 1.896039400805e-05, 2.264801265201e-02, 2.287420168215e-05, 3.381417012397e-02, 2.794990030597e-05, 2.445487272727e+00, 2.108634746908e-03, 1.220847272727e+00, 1.489873254357e-03, 1.224640000000e+00, 1.492185706210e-03, 1.782401818182e+00, 1.800202927037e-03, 2.661180000000e+00, 2.199661130927e-03
 2.557500000000e+00, 2.915444106407e-02, 2.539464066991e-05, 1.460889595642e-02, 1.797622147647e-05, 1.454554510765e-02, 1.793720257405e-05, 2.186980128596e-02, 2.199440058527e-05, 3.285573209937e-02, 2.695847284653e-05, 2.396418181818e+00, 2.087372503158e-03, 1.200812727273e+00, 1.477598006147e-03, 1.195605454545e+00, 1.474390755252e-03, 1.797640000000e+00, 1.807881733863e-03, 2.700654545455e+00, 2.215915384606e-03
