#                p[0],                 p[1],                 p[2],               energy,             variance,                error
  3.1000000000000e+00,  0.0000000000000e+00,  1.0400000000000e+00,  1.3972064374343e-01,  3.4471491997449e-01,  2.4737688983283e-04
  3.1000000000000e+00,  0.0000000000000e+00,  1.0750000000000e+00,  1.3456171360622e-01,  7.1965390058471e-02,  1.1491954674901e-04
  3.1000000000000e+00,  0.0000000000000e+00,  1.1100000000000e+00,  1.3312231506295e-01,  7.8867244529217e-03,  4.3863814903144e-05
  3.1000000000000e+00,  0.0000000000000e+00,  1.1450000000000e+00,  1.3381624464959e-01,  4.6913225868476e-03,  3.6959197174822e-05
  3.1000000000000e+00,  0.0000000000000e+00,  1.1800000000000e+00,  1.3591356617667e-01,  2.3162562680602e-02,  6.6832446002578e-05
  3.1000000000000e+00,  0.0000000000000e+00,  1.2150000000000e+00,  1.3884460009229e-01,  4.1533419543869e-02,  8.7602352749518e-05
  3.2000000000000e+00,  0.0000000000000e+00,  9.0000000000000e-01,  2.5176187575661e-01,  2.2997058472070e+01,  1.9763212634618e-03
  3.2000000000000e+00,  0.0000000000000e+00,  9.3500000000000e-01,  1.9902337195206e-01,  8.2060382055872e+00,  1.1952086406005e-03
  3.2000000000000e+00,  0.0000000000000e+00,  9.7000000000000e-01,  1.6718801158568e-01,  3.0399230389615e+00,  7.3318517089623e-04
  3.2000000000000e+00,  0.0000000000000e+00,  1.0050000000000e+00,  1.4887344383240e-01,  1.0486717894239e+00,  4.2563573406228e-04
  3.2000000000000e+00,  0.0000000000000e+00,  1.0400000000000e+00,  1.3920108818926e-01,  3.4211341014501e-01,  2.4021861102389e-04
  3.2000000000000e+00,  0.0000000000000e+00,  1.0750000000000e+00,  1.3419231050839e-01,  8.2938675551185e-02,  1.2951727224227e-04
  3.2000000000000e+00,  0.0000000000000e+00,  1.1100000000000e+00,  1.3272284220547e-01,  7.2865065564239e-03,  4.1721847701311e-05
  3.2000000000000e+00,  0.0000000000000e+00,  1.1450000000000e+00,  1.3346774517888e-01,  5.0588079942479e-03,  3.6372425962326e-05
  3.2000000000000e+00,  0.0000000000000e+00,  1.1800000000000e+00,  1.3547789008640e-01,  2.3120864547705e-02,  6.5569886183741e-05
  3.2000000000000e+00,  0.0000000000000e+00,  1.2150000000000e+00,  1.3819729912230e-01,  4.3845195828850e-02,  8.9274993229267e-05
  3.3000000000000e+00,  0.0000000000000e+00,  9.0000000000000e-01,  2.4338198192051e-01,  1.8787244721360e+01,  1.7965522812555e-03
  3.3000000000000e+00,  0.0000000000000e+00,  9.3500000000000e-01,  1.9351279869692e-01,  7.2898026456508e+00,  1.1370586191832e-03
  3.3000000000000e+00,  0.0000000000000e+00,  9.7000000000000e-01,  1.6604172012740e-01,  3.1403807057023e+00,  7.6480563958862e-04
  3.3000000000000e+00,  0.0000000000000e+00,  1.0050000000000e+00,  1.4804906845928e-01,  1.1013578982537e+00,  4.3560935220506e-04
  3.3000000000000e+00,  0.0000000000000e+00,  1.0400000000000e+00,  1.3828030099310e-01,  3.2570087981461e-01,  2.3394495883010e-04
  3.3000000000000e+00,  0.0000000000000e+00,  1.0750000000000e+00,  1.3385043907479e-01,  7.9387463932370e-02,  1.1716880970764e-04
  3.3000000000000e+00,  0.0000000000000e+00,  1.1100000000000e+00,  1.3237878658300e-01,  7.2344739714271e-03,  4.0425319438229e-05
  3.3000000000000e+00,  0.0000000000000e+00,  1.1450000000000e+00,  1.3322286869695e-01,  4.5769254156537e-03,  3.4461101087460e-05
  3.3000000000000e+00,  0.0000000000000e+00,  1.1800000000000e+00,  1.3512830681932e-01,  1.9944654781503e-02,  6.2781614857236e-05
  3.3000000000000e+00,  0.0000000000000e+00,  1.2150000000000e+00,  1.3782145982178e-01,  4.1822730642611e-02,  8.4711215142717e-05
  3.4000000000000e+00,  0.0000000000000e+00,  9.0000000000000e-01,  2.3892729111381e-01,  1.9010902461575e+01,  1.7841556188860e-03
  3.4000000000000e+00,  0.0000000000000e+00,  9.3500000000000e-01,  1.9218422602180e-01,  6.6202472931070e+00,  1.0806400408069e-03
  3.4000000000000e+00,  0.0000000000000e+00,  9.7000000000000e-01,  1.6321409854414e-01,  2.6885197111085e+00,  6.9667154920257e-04
