#                  r,             density,       density error,           density A,     density error A,           density B,     density error B, radial probability, probability error estimate, radial probability A,probability error A, radial probability B,probability error B
 3.932500000000e+00,  1.428805563234e-03,  3.656183787854e-06,  7.130929636591e-04,  2.582941248789e-06,  7.157125995744e-04,  2.587681277876e-06,  2.776690909091e-01,  7.105300082065e-04,  1.385800000000e-01,  5.019597955650e-04,  1.390890909091e-01,  5.028809562892e-04
 3.987500000000e+00,  1.314764420478e-03,  3.458864555607e-06,  6.569863804947e-04,  2.445050130500e-06,  6.577780399837e-04,  2.446522812764e-06,  2.627036363636e-01,  6.911171935400e-04,  1.312727272727e-01,  4.885465033653e-04,  1.314309090909e-01,  4.888407606329e-04
 4.042500000000e+00,  1.213529753879e-03,  3.277823462455e-06,  6.048524958468e-04,  2.314115778726e-06,  6.086772580319e-04,  2.321420860954e-06,  2.492109090909e-01,  6.731350115702e-04,  1.242127272727e-01,  4.752276531454e-04,  1.249981818182e-01,  4.767278274735e-04
 4.097500000000e+00,  1.114186812777e-03,  3.098635610938e-06,  5.552277102953e-04,  2.187394254661e-06,  5.589591024815e-04,  2.194732107582e-06,  2.350781818182e-01,  6.537697423658e-04,  1.171454545455e-01,  4.615102767406e-04,  1.179327272727e-01,  4.630584633671e-04
 4.152500000000e+00,  1.012136627638e-03,  2.914207545934e-06,  5.043607921300e-04,  2.057176557488e-06,  5.077758355078e-04,  2.064129412633e-06,  2.193181818182e-01,  6.314747267932e-04,  1.092890909091e-01,  4.457661247970e-04,  1.100290909091e-01,  4.472727272727e-04
 4.207500000000e+00,  9.357738693920e-04,  2.765489178673e-06,  4.733872562222e-04,  1.966956646230e-06,  4.623866131699e-04,  1.943968093672e-06,  2.081781818182e-01,  6.152282382368e-04,  1.053127272727e-01,  4.375816334702e-04,  1.028654545455e-01,  4.324674544674e-04
 4.262500000000e+00,  8.547479024271e-04,  2.608947502772e-06,  4.263626131387e-04,  1.842620404690e-06,  4.283852892885e-04,  1.846985954586e-06,  1.951563636364e-01,  5.956758783652e-04,  9.734727272727e-02,  4.207077861442e-04,  9.780909090909e-02,  4.217045301438e-04
 4.317500000000e+00,  7.893261329768e-04,  2.475179396705e-06,  3.929050413238e-04,  1.746313619636e-06,  3.964210916531e-04,  1.754109970255e-06,  1.849000000000e-01,  5.798118817184e-04,  9.203818181818e-02,  4.090747471555e-04,  9.286181818182e-02,  4.109010457780e-04
 4.372500000000e+00,  7.228409660674e-04,  2.338850275734e-06,  3.606069586992e-04,  1.651954546558e-06,  3.622340073681e-04,  1.655677138940e-06,  1.736672727273e-01,  5.619240853407e-04,  8.663818181818e-02,  3.968928910199e-04,  8.702909090909e-02,  3.977872682022e-04
 4.427500000000e+00,  6.628937512990e-04,  2.211944997651e-06,  3.302105879925e-04,  1.561161592336e-06,  3.326831633066e-04,  1.566995582396e-06,  1.632963636364e-01,  5.448875841298e-04,  8.134363636364e-02,  3.845744669907e-04,  8.195272727273e-02,  3.860116043303e-04
 4.482500000000e+00,  5.997555333975e-04,  2.078154502360e-06,  2.998489634554e-04,  1.469406567678e-06,  2.999065699420e-04,  1.469547710878e-06,  1.514363636364e-01,  5.247273987274e-04,  7.571090909091e-02,  3.710204823822e-04,  7.572545454545e-02,  3.710561205911e-04
 4.537500000000e+00,  5.425220628544e-04,  1.952554337866e-06,  2.688506655357e-04,  1.374516585180e-06,  2.736713973188e-04,  1.386784986717e-06,  1.403672727273e-01,  5.051863251717e-04,  6.956000000000e-02,  3.556300427027e-04,  7.080727272727e-02,  3.588042584304e-04
 4.592500000000e+00,  4.989893218140e-04,  1.850152764203e-06,  2.503555905305e-04,  1.310510816468e-06,  2.486337312834e-04,  1.305996420672e-06,  1.322527272727e-01,  4.903667037353e-04,  6.635454545455e-02,  3.473393558167e-04,  6.589818181818e-02,  3.461428549502e-04
 4.647500000000e+00,  4.513779800321e-04,  1.738849420121e-06,  2.254076491167e-04,  1.228785605707e-06,  2.259703309154e-04,  1.230318349478e-06,  1.225163636364e-01,  4.719714237042e-04,  6.118181818182e-02,  3.335261150517e-04,  6.133454545455e-02,  3.339421437493e-04
 4.702500000000e+00,  4.132444300948e-04,  1.644318518857e-06,  2.074204389307e-04,  1.164952501131e-06,  2.058239911641e-04,  1.160460710910e-06,  1.148363636364e-01,  4.569391517804e-04,  5.764000000000e-02,  3.237282811248e-04,  5.719636363636e-02,  3.224800589645e-04
 4.757500000000e+00,  3.787698128571e-04,  1.556037959954e-06,  1.908967127631e-04,  1.104667896290e-06,  1.878731000940e-04,  1.095884561312e-06,  1.077327272727e-01,  4.425807112272e-04,  5.429636363636e-02,  3.141984423211e-04,  5.343636363636e-02,  3.117002162229e-04
 4.812500000000e+00,  3.437176394414e-04,  1.465350535906e-06,  1.742514743173e-04,  1.043347183171e-06,  1.694661651241e-04,  1.028921206142e-06,  1.000363636364e-01,  4.264789531978e-04,  5.071454545455e-02,  3.036581374882e-04,  4.932181818182e-02,  2.994595683191e-04
 4.867500000000e+00,  3.117501361032e-04,  1.379776610121e-06,  1.553682069096e-04,  9.740618395115e-07,  1.563819291935e-04,  9.772343765155e-07,  9.281818181818e-02,  4.108044919162e-04,  4.625818181818e-02,  2.900099741801e-04,  4.656000000000e-02,  2.909545419040e-04
 4.922500000000e+00,  2.808966037653e-04,  1.295087117987e-06,  1.408513484731e-04,  9.170779340946e-07,  1.400452552922e-04,  9.144499472205e-07,  8.553272727273e-02,  3.943526969437e-04,  4.288909090909e-02,  2.792492887892e-04,  4.264363636364e-02,  2.784490694858e-04
 4.977500000000e+00,  2.532151952588e-04,  1.216032345713e-06,  1.274251743668e-04,  8.626365661199e-07,  1.257900208919e-04,  8.570839052347e-07,  7.883636363636e-02,  3.786011661039e-04,  3.967272727273e-02,  2.685744429482e-04,  3.916363636364e-02,  2.668456699485e-04
 5.032500000000e+00,  2.298751062206e-04,  1.145971322668e-06,  1.161658235969e-04,  8.146423174842e-07,  1.137092826238e-04,  8.059827336501e-07,  7.316000000000e-02,  3.647165773833e-04,  3.697090909091e-02,  2.592678821427e-04,  3.618909090909e-02,  2.565118849243e-04
 5.087500000000e+00,  2.080330783573e-04,  1.078383871622e-06,  1.044833069347e-04,  7.642415419556e-07,  1.035497714226e-04,  7.608197159145e-07,  6.766363636364e-02,  3.507489036169e-04,  3.398363636364e-02,  2.485727856224e-04,  3.368000000000e-02,  2.474598222669e-04
 5.142500000000e+00,  1.898198377269e-04,  1.019079703097e-06,  9.315643109888e-05,  7.139105073814e-07,  9.666340662801e-05,  7.272243317675e-07,  6.308181818182e-02,  3.386653434824e-04,  3.095818181818e-02,  2.372500859974e-04,  3.212363636364e-02,  2.416745985209e-04
 5.197500000000e+00,  1.706718710604e-04,  9.560886745528e-07,  8.454861471663e-05,  6.729308630461e-07,  8.612325634382e-05,  6.791683202035e-07,  5.793818181818e-02,  3.245645525321e-04,  2.870181818182e-02,  2.284406355422e-04,  2.923636363636e-02,  2.305580724967e-04
 5.252500000000e+00,  1.528569596285e-04,  8.953406169085e-07,  7.693980357190e-05,  6.352156869637e-07,  7.591715605663e-05,  6.309800720477e-07,  5.299454545454e-02,  3.104089544589e-04,  2.667454545455e-02,  2.202252790978e-04,  2.632000000000e-02,  2.187568180756e-04
 5.307500000000e+00,  1.416158372307e-04,  8.528598886379e-07,  7.080791861537e-05,  6.030630106579e-07,  7.080791861537e-05,  6.030630106579e-07,  5.013090909091e-02,  3.019057923227e-04,  2.506545454545e-02,  2.134796330309e-04,  2.506545454545e-02,  2.134796330309e-04
 5.362500000000e+00,  1.260970001051e-04,  7.965203792298e-07,  6.325981894189e-05,  5.641680490540e-07,  6.283718116322e-05,  5.622802921630e-07,  4.556727272727e-02,  2.878360414834e-04,  2.286000000000e-02,  2.038716173567e-04,  2.270727272727e-02,  2.031894446403e-04
 5.417500000000e+00,  1.127633561246e-04,  7.455846096140e-07,  5.756482073386e-05,  5.327108181764e-07,  5.519853539069e-05,  5.216470016123e-07,  4.158909090909e-02,  2.749845976152e-04,  2.123090909091e-02,  1.964730334997e-04,  2.035818181818e-02,  1.923925051374e-04
 5.472500000000e+00,  1.022468655536e-04,  7.028313528725e-07,  5.203169259175e-05,  5.013720296945e-07,  5.021517296181e-05,  4.925423823598e-07,  3.848000000000e-02,  2.645064013661e-04,  1.958181818182e-02,  1.886883827508e-04,  1.889818181818e-02,  1.853653974681e-04
