#                   r,             dens_tot,             dens_err,               dens_A,           dens_err_A,               dens_B,           dens_err_B,           dens_alike,       dens_err_alike,          dens_unlike,      dens_err_unlike,         dens_alike_n,     dens_err_alike_n,        dens_unlike_n,    dens_err_unlike_n,             prob_tot,             prob_err,               prob_A,           prob_err_A,               prob_B,           prob_err_B,           prob_alike,       prob_err_alike,          prob_unlike,      prob_err_unlike,         prob_alike_n,     prob_err_alike_n,        prob_unlike_n,    prob_err_unlike_n
  3.6900000000000e+00,  5.1155690565089e-04,  5.2613720776174e-07,  2.5573083311485e-04,  3.7200055389103e-07,  2.5582607253605e-04,  3.7206981777092e-07,  1.6044636799804e-03,  5.8931430149637e-07,  1.6028056843141e-03,  5.3768986370000e-07,  1.1098409588882e+00,  5.9211041234724e-04,  1.1050801198325e+00,  5.3787214820426e-04,  8.7531851851852e-02,  9.0026668812045e-05,  4.3757777777778e-02,  6.3652541901600e-05,  4.3774074074074e-02,  6.3664393556043e-05,  2.7453774074074e-01,  1.0083682101236e-04,  2.7425404320988e-01,  9.2003429084289e-05,  1.1098409588882e+00,  5.9211041234724e-04,  1.1050801198325e+00,  5.3787214820426e-04
  3.7500000000000e+00,  4.2922975974146e-04,  4.7423347083034e-07,  2.1551765556443e-04,  3.3603825215334e-07,  2.1371210417703e-04,  3.3462767062142e-07,  1.5110872287141e-03,  5.6275848691985e-07,  1.5131716991927e-03,  5.1408007051980e-07,  1.1056672000761e+00,  5.9751912525489e-04,  1.1060069922580e+00,  5.4529351738106e-04,  7.5852777777778e-02,  8.3805759645708e-05,  3.8085925925926e-02,  5.9384127700682e-05,  3.7766851851852e-02,  5.9134852050405e-05,  2.6703685185185e-01,  9.9449755013729e-05,  2.6740521604938e-01,  9.0847385261941e-05,  1.1056672000761e+00,  5.9751912525489e-04,  1.1060069922580e+00,  5.4529351738106e-04
  3.8100000000000e+00,  3.6041927318961e-04,  4.2771819969592e-07,  1.8021648897139e-04,  3.0244818949452e-07,  1.8020278421822e-04,  3.0243668927994e-07,  1.4219607242364e-03,  5.3731321630372e-07,  1.4244405739427e-03,  4.9092513404372e-07,  1.0998265361118e+00,  6.0222090317947e-04,  1.1011883717326e+00,  5.5012963767325e-04,  6.5747129629630e-02,  7.8023696323160e-05,  3.2874814814815e-02,  5.5172133679105e-05,  3.2872314814815e-02,  5.5170035827645e-05,  2.5939188888889e-01,  9.8015850737953e-05,  2.5984425925926e-01,  8.9553808099035e-05,  1.0998265361118e+00,  6.0222090317947e-04,  1.1011883717326e+00,  5.5012963767325e-04
  3.8700000000000e+00,  3.0154462361158e-04,  3.8516221043017e-07,  1.4971187747699e-04,  2.7139135163413e-07,  1.5183274613460e-04,  2.7330690185514e-07,  1.3356751630014e-03,  5.1268226748715e-07,  1.3369319412600e-03,  4.6823286998540e-07,  1.0962000084951e+00,  6.0919117935999e-04,  1.0925691374472e+00,  5.5353034597318e-04,  5.6753425925926e-02,  7.2491012166979e-05,  2.8177129629630e-02,  5.1078307374315e-05,  2.8576296296296e-02,  5.1438831253909e-05,  2.5138614814815e-01,  9.6491440447125e-05,  2.5162268518518e-01,  8.8125661749583e-05,  1.0962000084951e+00,  6.0919117935999e-04,  1.0925691374472e+00,  5.5353034597318e-04
  3.9300000000000e+00,  2.5327869381982e-04,  3.4760478886265e-07,  1.2636265221166e-04,  2.4552503883702e-07,  1.2691604160816e-04,  2.4606207457536e-07,  1.2575401928748e-03,  4.8986606487849e-07,  1.2541427318242e-03,  4.4658000836955e-07,  1.0913194952747e+00,  6.1477696537722e-04,  1.0917961703870e+00,  5.6228119649899e-04,  4.9158888888889e-02,  6.7466650807591e-05,  2.4525740740741e-02,  4.7653981160434e-05,  2.4633148148148e-02,  4.7758214484573e-05,  2.4407611111111e-01,  9.5078157150200e-05,  2.4341669753086e-01,  8.6676761792900e-05,  1.0913194952747e+00,  6.1477696537722e-04,  1.0917961703870e+00,  5.6228119649899e-04
  3.9900000000000e+00,  2.0916608353138e-04,  3.1113712543038e-07,  1.0514768253922e-04,  2.2060027793778e-07,  1.0401840099216e-04,  2.1941246134816e-07,  1.1761519148536e-03,  4.6662489832367e-07,  1.1782203205112e-03,  4.2634269841631e-07,  1.0831432813668e+00,  6.2022600238461e-04,  1.0855756234275e+00,  5.6729032220284e-04,  4.1846111111111e-02,  6.2246605672081e-05,  2.1036018518519e-02,  4.4133654873072e-05,  2.0810092592593e-02,  4.3896018330141e-05,  2.3530288888889e-01,  9.3353745563313e-05,  2.3571669753087e-01,  8.5294822315986e-05,  1.0831432813668e+00,  6.2022600238461e-04,  1.0855756234275e+00,  5.6729032220284e-04
  4.0500000000000e+00,  1.7363093477473e-04,  2.7927865685704e-07,  8.6262940391065e-05,  1.9685041026516e-07,  8.7367994383670e-05,  1.9810725416883e-07,  1.1013248396685e-03,  4.4484827252230e-07,  1.1021446160369e-03,  4.0624016492248e-07,  1.0769642739481e+00,  6.2692022920090e-04,  1.0801440002207e+00,  5.7421248926137e-04,  3.5789444444444e-02,  5.7565940004135e-05,  1.7780833333333e-02,  4.0575527806673e-05,  1.8008611111111e-02,  4.0834593077065e-05,  2.2700911111111e-01,  9.1693755817760e-05,  2.2717808641975e-01,  8.3735711222530e-05,  1.0769642739481e+00,  6.2692022920090e-04,  1.0801440002207e+00,  5.7421248926137e-04
  4.1100000000000e+00,  1.3969835225057e-04,  2.4685001260108e-07,  6.9222372078123e-05,  1.7376437820206e-07,  7.0475980172444e-05,  1.7533074342283e-07,  1.0302324050098e-03,  4.2396998389570e-07,  1.0291564132049e-03,  3.8682771013371e-07,  1.0711656334876e+00,  6.3440113430050e-04,  1.0698782309341e+00,  5.7855272257937e-04,  2.9654629629630e-02,  5.2400372515666e-05,  1.4694259259259e-02,  3.6886034769849e-05,  1.4960370370370e-02,  3.7218536762452e-05,  2.1869377777778e-01,  8.9998719698256e-05,  2.1846537037037e-01,  8.2114300488798e-05,  1.0711656334876e+00,  6.3440113430050e-04,  1.0698782309341e+00,  5.7855272257937e-04
  4.1700000000000e+00,  1.1484247425406e-04,  2.2059448943866e-07,  5.8106192831519e-05,  1.5691143692760e-07,  5.6736281422543e-05,  1.5505073276841e-07,  9.5974527215286e-04,  4.0332150152848e-07,  9.6017004497185e-04,  3.6826194118017e-07,  1.0615192334658e+00,  6.4049678915327e-04,  1.0598321392463e+00,  5.8339363366003e-04,  2.5095277777778e-02,  4.8204116331240e-05,  1.2697314814815e-02,  3.4288150980594e-05,  1.2397962962963e-02,  3.3881551523029e-05,  2.0972270370370e-01,  8.8133464385451e-05,  2.0981552469136e-01,  8.0472279693792e-05,  1.0615192334658e+00,  6.4049678915327e-04,  1.0598321392463e+00,  5.8339363366003e-04
  4.2300000000000e+00,  9.4843210101746e-05,  1.9762519185230e-07,  4.7478020614502e-05,  1.3982521135211e-07,  4.7365189487244e-05,  1.3965896578808e-07,  8.9549453629642e-04,  3.8406138876692e-07,  8.9410679578963e-04,  3.5032671170930e-07,  1.0551210458664e+00,  6.4872210507606e-04,  1.0516981154009e+00,  5.9024413761288e-04,  2.1325740740741e-02,  4.4436534789998e-05,  1.0675555555556e-02,  3.1440059895858e-05,  1.0650185185185e-02,  3.1402679151428e-05,  2.0135425925926e-01,  8.6357195170700e-05,  2.0104222222222e-01,  7.8771865908525e-05,  1.0551210458664e+00,  6.4872210507606e-04,  1.0516981154009e+00,  5.9024413761288e-04
  4.2900000000000e+00,  7.8656047651780e-05,  1.7745507265693e-07,  3.9233139808841e-05,  1.2532822572117e-07,  3.9422907842938e-05,  1.2563096214414e-07,  8.3396741398770e-04,  3.6544909849324e-07,  8.3437601579276e-04,  3.3368957357906e-07,  1.0472339906966e+00,  6.5660666236379e-04,  1.0469193862835e+00,  5.9902429500397e-04,  1.8191296296296e-02,  4.1041190122779e-05,  9.0737037037036e-03,  2.8985474816586e-05,  9.1175925925925e-03,  2.9055490640345e-05,  1.9287707407407e-01,  8.4519792570005e-05,  1.9297157407407e-01,  7.7174560446198e-05,  1.0472339906966e+00,  6.5660666236379e-04,  1.0469193862835e+00,  5.9902429500397e-04
  4.3500000000000e+00,  6.3291673712945e-05,  1.5698703276955e-07,  3.1263848620125e-05,  1.1033459627610e-07,  3.2027825092820e-05,  1.1167455091640e-07,  7.7458694552877e-04,  3.4734061824778e-07,  7.7544715240528e-04,  3.1725316690135e-07,  1.0408053411478e+00,  6.6673875996540e-04,  1.0386570350341e+00,  6.0673355313365e-04,  1.5050185185185e-02,  3.7330090614609e-05,  7.4342592592593e-03,  2.6236564920361e-05,  7.6159259259260e-03,  2.6555193964169e-05,  1.8418974074074e-01,  8.2594444423685e-05,  1.8439429012346e-01,  7.5439921751907e-05,  1.0408053411478e+00,  6.6673875996540e-04,  1.0386570350341e+00,  6.0673355313365e-04
