#                   r,             dens_tot,             dens_err,               dens_A,           dens_err_A,               dens_B,           dens_err_B,           dens_alike,       dens_err_alike,          dens_unlike,      dens_err_unlike,             prob_tot,             prob_err,               prob_A,           prob_err_A,               prob_B,           prob_err_B,           prob_alike,       prob_err_alike,          prob_unlike,      prob_err_unlike
  3.9300000000000e+00,  2.8344509476650e-03,  4.0282045705304e-06,  1.4166615891198e-03,  2.8478040575356e-06,  1.4177893585451e-03,  2.8489373653919e-06,  6.8796740053631e-03,  6.2756826631787e-06,  1.0357520272507e-02,  7.7002520510578e-06,  5.5013888888889e-01,  7.8183465777539e-04,  2.7496000000000e-01,  5.5273059541798e-04,  2.7517888888889e-01,  5.5295055926154e-04,  1.3352766666667e+00,  1.2180479221856e-03,  2.0102922222222e+00,  1.4945427476962e-03
  3.9900000000000e+00,  2.5147970771547e-03,  3.7372168573086e-06,  1.2718190936771e-03,  2.6577216611213e-06,  1.2429779834776e-03,  2.6274142061271e-06,  6.5208511653930e-03,  6.0179554663140e-06,  9.7609413494769e-03,  7.3627944672430e-06,  5.0311444444445e-01,  7.4767375865596e-04,  2.5444222222222e-01,  5.3170817207084e-04,  2.4867222222222e-01,  5.2564481271654e-04,  1.3045722222222e+00,  1.2039620805316e-03,  1.9527900000000e+00,  1.4730127856426e-03
  4.0500000000000e+00,  2.2524288578742e-03,  3.4844991258876e-06,  1.1249126214288e-03,  2.4624885129282e-06,  1.1275162364455e-03,  2.4653365859468e-06,  6.1206784447508e-03,  5.7440022389537e-06,  9.1820769018070e-03,  7.0353430899933e-06,  4.6427888888889e-01,  7.1823772673033e-04,  2.3187111111111e-01,  5.0757715462896e-04,  2.3240777777778e-01,  5.0816420987465e-04,  1.2616166666667e+00,  1.1839747870188e-03,  1.8926433333333e+00,  1.4501506945959e-03
  4.1100000000000e+00,  1.9783244296331e-03,  3.2179322178354e-06,  9.9121928363102e-04,  2.2777864554349e-06,  9.8710514600206e-04,  2.2730544696554e-06,  5.7740665397238e-03,  5.4975479640751e-06,  8.6571924256926e-03,  6.7315747129973e-06,  4.1995111111111e-01,  6.8309029101504e-04,  2.1041222222222e-01,  4.8351975970450e-04,  2.0953888888889e-01,  4.8251527193896e-04,  1.2256966666667e+00,  1.1669983655452e-03,  1.8377155555556e+00,  1.4289528238677e-03
  4.1700000000000e+00,  1.7397408793610e-03,  2.9742419595620e-06,  8.7212806046213e-04,  2.1058340420107e-06,  8.6761281889886e-04,  2.1003757334174e-06,  5.4320847524559e-03,  5.2555392109729e-06,  8.1024942059253e-03,  6.4186452961488e-06,  3.8016666666666e-01,  6.4992877102603e-04,  1.9057666666667e-01,  4.6016502675871e-04,  1.8959000000000e-01,  4.5897228190333e-04,  1.1870144444444e+00,  1.1484358659810e-03,  1.7705500000000e+00,  1.4025967980064e-03
  4.2300000000000e+00,  1.5344967420340e-03,  2.7536756895850e-06,  7.6703094461118e-04,  1.9468668385681e-06,  7.6746579742281e-04,  1.9474186289279e-06,  5.0835232565510e-03,  5.0120132738789e-06,  7.6453943566095e-03,  6.1465263951758e-06,  3.4503555555556e-01,  6.1917109065765e-04,  1.7246888888889e-01,  4.3775803677995e-04,  1.7256666666667e-01,  4.3788210826745e-04,  1.1430433333333e+00,  1.1269641290423e-03,  1.7190866666667e+00,  1.3820623344467e-03
  4.2900000000000e+00,  1.3607665193358e-03,  2.5568472835474e-06,  6.7512740576150e-04,  1.8009673951498e-06,  6.8563911357428e-04,  1.8149337379065e-06,  4.7638838811822e-03,  4.7840263715864e-06,  7.1431570586609e-03,  5.8581175363865e-06,  3.1471333333333e-01,  5.9133871975499e-04,  1.5614111111111e-01,  4.1652145617817e-04,  1.5857222222222e-01,  4.1975154320704e-04,  1.1017744444444e+00,  1.1064329293547e-03,  1.6520444444444e+00,  1.3548449868053e-03
  4.3500000000000e+00,  1.1888174810981e-03,  2.3568866961301e-06,  5.9112153902895e-04,  1.6619559390219e-06,  5.9769594206920e-04,  1.6711724492538e-06,  4.4669167004997e-03,  4.5686200411670e-06,  6.6999615222001e-03,  5.5952212959999e-06,  2.8269000000000e-01,  5.6044625076809e-04,  1.4056333333333e-01,  3.9519802818522e-04,  1.4212666666667e-01,  3.9738963061273e-04,  1.0621922222222e+00,  1.0863763529491e-03,  1.5931900000000e+00,  1.3304928076135e-03
  4.4100000000000e+00,  1.0641117484158e-03,  2.1995077331241e-06,  5.3293786789834e-04,  1.5565754058801e-06,  5.3117388051750e-04,  1.5539971923662e-06,  4.2013360270897e-03,  4.3704442360922e-06,  6.2875284328495e-03,  5.3465281181472e-06,  2.6006444444445e-01,  5.3755045700582e-04,  1.3024777777778e-01,  3.8042049509250e-04,  1.2981666666667e-01,  3.7979039053239e-04,  1.0267888888889e+00,  1.0681182252962e-03,  1.5366455555556e+00,  1.3066690287205e-03
  4.4700000000000e+00,  9.0570468650107e-04,  2.0019643399378e-06,  4.5127478431146e-04,  1.4131347088607e-06,  4.5442990218961e-04,  1.4180661172864e-06,  3.9171828362885e-03,  4.1634173845591e-06,  5.8817813687659e-03,  5.1017299752641e-06,  2.2741444444444e-01,  5.0267555744175e-04,  1.1331111111111e-01,  3.5482563967095e-04,  1.1410333333333e-01,  3.5606387275527e-04,  9.8356999999999e-01,  1.0453973194702e-03,  1.4768633333333e+00,  1.2809993205538e-03
  4.5300000000000e+00,  8.0946427349896e-04,  1.8675458781504e-06,  4.0241406353242e-04,  1.3167672357857e-06,  4.0705020996654e-04,  1.3243306436679e-06,  3.6675753024660e-03,  3.9752272105912e-06,  5.4714025036715e-03,  4.8553637231260e-06,  2.0874222222222e-01,  4.8159713710646e-04,  1.0377333333333e-01,  3.3956399058750e-04,  1.0496888888889e-01,  3.4151441955712e-04,  9.4578333333334e-01,  1.0251196858759e-03,  1.4109488888889e+00,  1.2520866534128e-03
  4.5900000000000e+00,  6.9773964322255e-04,  1.7112156171116e-06,  3.5129555971265e-04,  1.2142115673031e-06,  3.4644408350990e-04,  1.2057981415121e-06,  3.4063112530191e-03,  3.7809436107330e-06,  5.1146394093036e-03,  4.6330346258379e-06,  1.8472888888889e-01,  4.5305002040354e-04,  9.3006666666666e-02,  3.2146654684545e-04,  9.1722222222221e-02,  3.1923906441241e-04,  9.0183222222221e-01,  1.0010173836998e-03,  1.3541177777778e+00,  1.2266113111503e-03
  4.6500000000000e+00,  6.0492801197904e-04,  1.5727862198278e-06,  3.0250898691433e-04,  1.1122104933476e-06,  3.0241902506470e-04,  1.1120451032973e-06,  3.1917441955876e-03,  3.6126998931104e-06,  4.7743816785480e-03,  4.4185158278125e-06,  1.6437111111111e-01,  4.2735765805849e-04,  8.2197777777778e-02,  3.0220996707179e-04,  8.2173333333334e-02,  3.0216502726772e-04,  8.6726111111112e-01,  9.8164324313374e-04,  1.2972955555556e+00,  1.2005996444164e-03
  4.7100000000000e+00,  5.3285446346643e-04,  1.4573178138759e-06,  2.6550853775650e-04,  1.0287011257351e-06,  2.6734592570993e-04,  1.0322544282063e-06,  2.9661858476410e-03,  3.4383426063622e-06,  4.4584398044571e-03,  4.2154255484937e-06,  1.4854777777778e-01,  4.0626725984227e-04,  7.4017777777777e-02,  2.8677861724445e-04,  7.4529999999999e-02,  2.8776919764129e-04,  8.2690555555555e-01,  9.5853218548845e-04,  1.2429122222222e+00,  1.1751653416634e-03
