#                 r,           dens_tot,           dens_err,             dens_A,         dens_err_A,             dens_B,         dens_err_B,         dens_alike,     dens_err_alike,        dens_unlike,    dens_err_unlike,       dens_alike_n,   dens_err_alike_n,      dens_unlike_n,  dens_err_unlike_n,           prob_tot,           prob_err,             prob_A,         prob_err_A,             prob_B,         prob_err_B,         prob_alike,     prob_err_alike,        prob_unlike,    prob_err_unlike,       prob_alike_n,   prob_err_alike_n,      prob_unlike_n,  prob_err_unlike_n
 6.666666666667e-02, 2.189926943767e-02, 1.660417914584e-04, 1.088102246334e-02, 1.170408454785e-04, 1.101824697433e-02, 1.177765553936e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.630781250000e-03, 1.236469741593e-05, 8.102812500000e-04, 8.715725281782e-06, 8.205000000000e-04, 8.770511672645e-06, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 2.066666666667e+00, 1.008401885763e-02, 4.196157580927e-06, 5.035793301126e-03, 2.965301876877e-06, 5.048225556509e-03, 2.968959956443e-06, 6.765316752483e-03, 2.806295517737e-06, 6.752163938478e-03, 2.427959598879e-06, 1.453607754930e+00, 9.444850034111e-04, 1.451618594580e+00, 8.172923872828e-04, 5.414208750000e-01, 2.252958211580e-04, 2.703766875000e-01, 1.592099697039e-04, 2.710441875000e-01, 1.594063755881e-04, 3.632365000000e-01, 1.506727621370e-04, 3.625303125000e-01, 1.303595351267e-04, 1.453607754930e+00, 9.444850034111e-04, 1.451618594580e+00, 8.172923872828e-04
 2.200000000000e+00, 8.364022940127e-03, 3.590039081057e-06, 4.190871051728e-03, 2.541228502923e-06, 4.173151888399e-03, 2.535850606690e-06, 6.138541329427e-03, 2.511183974844e-06, 6.138881875135e-03, 2.174809438852e-06, 1.418951467266e+00, 9.028060608073e-04, 1.416563594668e+00, 7.801302587466e-04, 5.088659062500e-01, 2.184174414074e-04, 2.549719687500e-01, 1.546079625062e-04, 2.538939375000e-01, 1.542807721028e-04, 3.734679375000e-01, 1.527800579060e-04, 3.734886562500e-01, 1.323150813842e-04, 1.418951467266e+00, 9.028060608073e-04, 1.416563594668e+00, 7.801302587466e-04
 2.333333333333e+00, 6.755138924173e-03, 3.042019430730e-06, 3.373894698425e-03, 2.149862097964e-06, 3.381244225748e-03, 2.152202401420e-06, 5.562204472201e-03, 2.253837947083e-06, 5.563844930536e-03, 1.952168730626e-06, 1.384340844301e+00, 8.661696029720e-04, 1.383271381415e+00, 7.492667761765e-04, 4.622914687500e-01, 2.081821923108e-04, 2.308942500000e-01, 1.471269381775e-04, 2.313972187500e-01, 1.472870980698e-04, 3.806523750000e-01, 1.542425798458e-04, 3.807646406250e-01, 1.335976890867e-04, 1.384340844301e+00, 8.661696029720e-04, 1.383271381415e+00, 7.492667761765e-04
 2.466666666667e+00, 5.331785725027e-03, 2.556546632947e-06, 2.670027629989e-03, 1.809152817703e-06, 2.661758095037e-03, 1.806349016283e-06, 4.997986302176e-03, 2.021013787816e-06, 4.998181211168e-03, 1.750283408992e-06, 1.345536597472e+00, 8.332797662267e-04, 1.345930717632e+00, 7.218993893536e-04, 4.077643125000e-01, 1.955195752268e-04, 2.041983750000e-01, 1.383603904889e-04, 2.035659375000e-01, 1.381459613620e-04, 3.822360000000e-01, 1.545630939131e-04, 3.822509062500e-01, 1.338581758073e-04, 1.345536597472e+00, 8.332797662267e-04, 1.345930717632e+00, 7.218993893536e-04
 2.600000000000e+00, 4.094254249978e-03, 2.125431824110e-06, 2.051102000568e-03, 1.504365634264e-06, 2.043152249410e-03, 1.501447460747e-06, 4.491499435145e-03, 1.817648154769e-06, 4.487459093191e-03, 1.573421311403e-06, 1.315301086734e+00, 8.099298165203e-04, 1.313257999504e+00, 7.003362668476e-04, 3.478776562500e-01, 1.805921655926e-04, 1.742765625000e-01, 1.278218593761e-04, 1.736010937500e-01, 1.275739101034e-04, 3.816305000000e-01, 1.544406237037e-04, 3.812872031250e-01, 1.336893325830e-04, 1.315301086734e+00, 8.099298165203e-04, 1.313257999504e+00, 7.003362668476e-04
 2.733333333333e+00, 3.048258278080e-03, 1.744499842574e-06, 1.526058482778e-03, 1.234328174758e-06, 1.522199795302e-03, 1.232766668003e-06, 4.001178372276e-03, 1.631899391347e-06, 3.992946838448e-03, 1.411811840432e-06, 1.282439123145e+00, 7.902087380693e-04, 1.280633829820e+00, 6.838109374888e-04, 2.862417187500e-01, 1.638144106384e-04, 1.433020312500e-01, 1.159075727884e-04, 1.429396875000e-01, 1.157609420449e-04, 3.757241250000e-01, 1.532408490335e-04, 3.749511562500e-01, 1.325738867546e-04, 1.282439123145e+00, 7.902087380693e-04, 1.280633829820e+00, 6.838109374888e-04
 2.866666666667e+00, 2.210763906168e-03, 1.416561875095e-06, 1.104994831159e-03, 1.001485093958e-06, 1.105769075009e-03, 1.001835891028e-06, 3.537629370823e-03, 1.463103005185e-06, 3.533864954265e-03, 1.266410034662e-06, 1.243487882290e+00, 7.703108107788e-04, 1.242717845406e+00, 6.669361348272e-04, 2.283415312500e-01, 1.463113753428e-04, 1.141307812500e-01, 1.034396478251e-04, 1.142107500000e-01, 1.034758803417e-04, 3.653885000000e-01, 1.511184345141e-04, 3.649996875000e-01, 1.308027536085e-04, 1.243487882290e+00, 7.703108107788e-04, 1.242717845406e+00, 6.669361348272e-04
 3.000000000000e+00, 1.571863837659e-03, 1.141382399626e-06, 7.845329119108e-04, 8.063605895346e-07, 7.873309257484e-04, 8.077972405390e-07, 3.101355225638e-03, 1.309042771355e-06, 3.107173646791e-03, 1.134727224384e-06, 1.203446145877e+00, 7.540153805245e-04, 1.207316829681e+00, 6.550576784021e-04, 1.778028750000e-01, 1.291085571573e-04, 8.874318750000e-02, 9.121224604254e-05, 8.905968750000e-02, 9.137475418914e-05, 3.508127500000e-01, 1.480736197808e-04, 3.514709062500e-01, 1.283557506716e-04, 1.203446145877e+00, 7.540153805245e-04, 1.207316829681e+00, 6.550576784021e-04
 3.133333333333e+00, 1.077700906021e-03, 9.048789109977e-07, 5.394282588197e-04, 6.401889735492e-07, 5.382726472014e-04, 6.395028707632e-07, 2.696492956219e-03, 1.168679317572e-06, 2.698304503426e-03, 1.012445895327e-06, 1.161273842779e+00, 7.399214383051e-04, 1.161562894574e+00, 6.407779141815e-04, 1.329801562500e-01, 1.116552266956e-04, 6.656137500000e-02, 7.899448655602e-05, 6.641878125000e-02, 7.890982665161e-05, 3.327268750000e-01, 1.442062054403e-04, 3.329504062500e-01, 1.249281805397e-04, 1.161273842779e+00, 7.399214383051e-04, 1.161562894574e+00, 6.407779141815e-04
 3.266666666667e+00, 7.231819596474e-04, 7.109998881677e-07, 3.608545590670e-04, 5.022406250218e-07, 3.623274005804e-04, 5.032645383416e-07, 2.333099791190e-03, 1.042717754522e-06, 2.336445664898e-03, 9.036673381713e-07, 1.115402892859e+00, 7.250396662754e-04, 1.117011252676e+00, 6.285966051889e-04, 9.699009375000e-02, 9.535628604902e-05, 4.839628125000e-02, 6.735838008138e-05, 4.859381250000e-02, 6.749570298823e-05, 3.129054375000e-01, 1.398448777887e-04, 3.133541718750e-01, 1.211960263649e-04, 1.115402892859e+00, 7.250396662754e-04, 1.117011252676e+00, 6.285966051889e-04
