#                 r,            density,      density error,          density A,    density error A,          density B,    density error B, radial probability,  probability error,     radial prob. A,      prob. error A,     radial prob. B,      prob. error B
 4.592500000000e+00, 1.520360555213e-03, 3.229499782990e-06, 7.600190676772e-04, 2.283359044157e-06, 7.603414875362e-04, 2.283843322953e-06, 4.029581818182e-01, 8.559504890293e-04, 2.014363636364e-01, 6.051842148340e-04, 2.015218181818e-01, 6.053125686661e-04
 4.647500000000e+00, 1.464044451440e-03, 3.131619019303e-06, 7.326050032970e-04, 2.215270329043e-06, 7.314394481426e-04, 2.213507409367e-06, 3.973818181818e-01, 8.500072921418e-04, 1.988490909091e-01, 6.012851250887e-04, 1.985327272727e-01, 6.008066203375e-04
 4.702500000000e+00, 1.409519435961e-03, 3.036812497669e-06, 7.047597179807e-04, 2.147350710294e-06, 7.047597179807e-04, 2.147350710294e-06, 3.916909090909e-01, 8.438988619830e-04, 1.958454545455e-01, 5.967266079438e-04, 1.958454545455e-01, 5.967266079438e-04
 4.757500000000e+00, 1.360574561763e-03, 2.949128398914e-06, 6.833492480452e-04, 2.090036488651e-06, 6.772253137175e-04, 2.080650328477e-06, 3.869854545455e-01, 8.388145905713e-04, 1.943636363636e-01, 5.944648263372e-04, 1.926218181818e-01, 5.917951398950e-04
 4.812500000000e+00, 1.326030417723e-03, 2.878176086140e-06, 6.627090990045e-04, 2.034707959463e-06, 6.633213187185e-04, 2.035647587999e-06, 3.859309090909e-01, 8.376709150875e-04, 1.928763636364e-01, 5.921860328652e-04, 1.930545454545e-01, 5.924595044919e-04
 4.867500000000e+00, 1.270426078636e-03, 2.785352420826e-06, 6.333626908117e-04, 1.966670897348e-06, 6.370633878241e-04, 1.972408094114e-06, 3.782472727273e-01, 8.292902471690e-04, 1.885727272727e-01, 5.855420600881e-04, 1.896745454545e-01, 5.872502106576e-04
 4.922500000000e+00, 1.223153850552e-03, 2.702503610306e-06, 6.099975797474e-04, 1.908489589702e-06, 6.131562708044e-04, 1.913424482365e-06, 3.724490909091e-01, 8.229095729722e-04, 1.857436363636e-01, 5.811331194136e-04, 1.867054545455e-01, 5.826357891598e-04
 4.977500000000e+00, 1.181083034601e-03, 2.626276579518e-06, 5.919138782527e-04, 1.859214537376e-06, 5.891691563484e-04, 1.854898912646e-06, 3.677200000000e-01, 8.176685258599e-04, 1.842872727273e-01, 5.788503853286e-04, 1.834327272727e-01, 5.775067528495e-04
 5.032500000000e+00, 1.134144977070e-03, 2.545435315074e-06, 5.650158495808e-04, 1.796627709838e-06, 5.691291274892e-04, 1.803155516163e-06, 3.609527272727e-01, 8.101096752603e-04, 1.798218181818e-01, 5.717943339441e-04, 1.811309090909e-01, 5.738718721281e-04
 5.087500000000e+00, 1.088295575977e-03, 2.466497150036e-06, 5.441729431371e-04, 1.744117173150e-06, 5.441226328400e-04, 1.744036547053e-06, 3.539727272727e-01, 8.022386034463e-04, 1.769945454545e-01, 5.672814684641e-04, 1.769781818182e-01, 5.672552444858e-04
 5.142500000000e+00, 1.050905429892e-03, 2.397834314756e-06, 5.246621408991e-04, 1.694248916279e-06, 5.262432889926e-04, 1.696799932433e-06, 3.492418181818e-01, 7.968595384175e-04, 1.743581818182e-01, 5.630407410064e-04, 1.748836363636e-01, 5.638885066517e-04
 5.197500000000e+00, 1.003036004667e-03, 2.317797340567e-06, 5.019732558651e-04, 1.639673918571e-06, 5.010627488018e-04, 1.638186177667e-06, 3.405018181818e-01, 7.868254030444e-04, 1.704054545455e-01, 5.566220433773e-04, 1.700963636364e-01, 5.561169982139e-04
 5.252500000000e+00, 9.608638723086e-04, 2.244794607164e-06, 4.825532742052e-04, 1.590809996634e-06, 4.783105981034e-04, 1.583801244778e-06, 3.331254545455e-01, 7.782561561774e-04, 1.672981818182e-01, 5.515238094558e-04, 1.658272727273e-01, 5.490939193175e-04
 5.307500000000e+00, 9.187874447694e-04, 2.172347523489e-06, 4.585873359621e-04, 1.534732909641e-06, 4.602001088074e-04, 1.537429237029e-06, 3.252436363636e-01, 7.689941912106e-04, 1.623363636364e-01, 5.432835583684e-04, 1.629072727273e-01, 5.442380373718e-04
 5.362500000000e+00, 8.834940878803e-04, 2.108367622805e-06, 4.419080488082e-04, 1.491112704218e-06, 4.415860390721e-04, 1.490569332909e-06, 3.192654545455e-01, 7.618941164152e-04, 1.596909090909e-01, 5.388386655002e-04, 1.595745454545e-01, 5.386423091348e-04
 5.417500000000e+00, 8.443892056675e-04, 2.040254171924e-06, 4.222241814005e-04, 1.442728095760e-06, 4.221650242669e-04, 1.442627023093e-06, 3.114254545455e-01, 7.524812948994e-04, 1.557236363636e-01, 5.321032646935e-04, 1.557018181818e-01, 5.320659873324e-04
 5.472500000000e+00, 8.072110793872e-04, 1.974784374989e-06, 4.051321891698e-04, 1.399021860381e-06, 4.020788902174e-04, 1.393739990772e-06, 3.037890909091e-01, 7.431983595602e-04, 1.524690909091e-01, 5.265135600586e-04, 1.513200000000e-01, 5.245257598319e-04
