# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
 2.755650438931e+00, 6.848552730233e-01, 8.275598304795e-03, 6.500000000000e-01, 1.262171738300e+01, 9.823000000000e-01
 2.755299592342e+00, 1.413592342709e+00, 1.188945895619e-02, 6.600000000000e-01, 1.240072506200e+01, 9.858000000000e-01
 2.773235819472e+00, 1.245594586287e+00, 1.116062088903e-02, 6.700000000000e-01, 1.196567847400e+01, 9.833000000000e-01
 2.788170173864e+00, 9.199622434920e-01, 9.591466225203e-03, 6.800000000000e-01, 1.220868145500e+01, 9.820000000000e-01
 2.776757035402e+00, 9.589875500042e-01, 9.792790970935e-03, 6.900000000000e-01, 1.203014858800e+01, 9.813000000000e-01
 2.790757693242e+00, 1.133977121935e+00, 1.064883618963e-02, 7.000000000000e-01, 1.196857866400e+01, 9.821000000000e-01
 2.810180721165e+00, 1.200065175494e+00, 1.095474863013e-02, 7.100000000000e-01, 1.239970465400e+01, 9.819000000000e-01
 2.795731049163e+00, 1.331618889802e+00, 1.153957923757e-02, 7.200000000000e-01, 1.195142872700e+01, 9.830000000000e-01
 2.829746082606e+00, 8.544584304531e-01, 9.243692067854e-03, 7.300000000000e-01, 1.199534931900e+01, 9.836000000000e-01
 2.860066939154e+00, 2.213197427275e+00, 1.487681897206e-02, 7.400000000000e-01, 1.269398272000e+01, 9.807000000000e-01
